H01,H02,H02A,H02B,H03,H05,H06,H07,H08,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,005I,5,I,3,2,1,20.46,805.32,1,1,1,67,113,2,2,1,2,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,168677R,2,1,U,U,U,U,1,2,2,2,2,31,U,U,U,U,U,U,U
1,005I,5,I,3,2,2,20.46,805.32,1,3,2,78,121,2,2,1,1,U,9,9,9,9,U,3,A,8,8,8,8,A,2,11,8P63H12,2,1,U,U,U,U,1,4,2,2,2,41,U,U,U,U,U,U,U
1,005I,5,I,3,2,3,20.46,805.32,1,2,1,75,165,39,21,1,2,A,8,8,8,8,A,A,A,8,8,8,8,A,A,13,F3785LS,3,1,U,U,U,U,1,5,2,U,2,U,U,U,U,U,U,U,U
1,006M,6,M,3,2,1,32.73,1288.51,1,1,2,78,115,6,2,1,46,12,F,Y,A,W,2,A,A,8,8,8,8,A,2,13,2K37Y8A,2,1,6,1,1,A,1,12,2,2,2,33,0,1,U,U,U,U,U
1,007N,7,N,3,2,1,163.67,6442.54,1,1,1,78,113,6,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,008I,8,I,3,2,1,28.34,1115.70,1,3,2,63,121,8,2,1,3,5,B,Z,A,W,6,2,3,F,D,E,S,1,1,11,3H16S21,2,1,155,1,5,3,1,3,2,2,2,U,0,1,30,29,-8,543,U
1,008I,8,I,3,2,2,28.34,1115.70,1,1,2,78,132,11,12,1,1,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,8258F8X,2,1,U,U,U,U,1,7,2,2,2,35,U,U,U,U,U,U,U
1,008I,8,I,3,2,3,28.34,1115.70,1,1,2,71,121,16,11,1,1,12,F,L,E,W,2,A,A,8,8,8,8,A,2,11,F10ADB5,2,1,137,1,1,A,1,2,2,2,2,U,0,1,20,-20,3,427,U
1,009J,9,J,3,2,1,113.38,4462.78,4,1,1,77,113,1,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,009J,9,J,3,2,2,113.38,4462.78,2,2,1,78,113,11,12,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,010M,10,M,3,2,1,45.35,1785.11,2,1,2,77,456,19,2,1,44,5,R,D,E,W,1,A,A,8,8,8,8,A,2,10,ACW1457,2,1,25,1,1,A,1,9,2,2,2,25,0,1,10,9,-5,72,U
1,011N,11,N,3,2,1,226.75,8925.56,1,1,1,U,131,20,9,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,012I,12,I,3,2,1,28.04,1103.79,2,1,2,78,115,6,1,1,2,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,2U87L8L,2,1,14,1,1,A,1,2,2,2,2,35,0,1,U,U,U,U,U
1,012I,12,I,3,2,2,28.04,1103.79,1,3,1,74,116,12,11,1,1,6,B,C,E,N,1,3,12,F,D,E,W,1,2,13,TCY1442,2,1,63,1,1,A,1,3,2,2,2,35,0,1,13,-13,0,42,U
1,013M,13,M,3,2,1,44.87,1766.06,1,1,2,77,115,6,1,1,34,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,2U87Z7N,2,1,40,1,1,A,1,8,2,2,2,35,0,1,U,U,U,U,U
1,014N,14,N,3,2,1,224.33,8830.30,1,1,1,65,651,8,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,014N,14,N,3,2,2,224.33,8830.30,1,3,1,75,115,7,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,014N,14,N,3,2,3,224.33,8830.30,1,2,1,71,113,2,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,015J,15,J,3,2,1,57.25,2253.53,1,1,1,78,813,12,11,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,015J,15,J,3,2,2,57.25,2253.53,2,2,1,77,114,1,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,016K,16,K,3,2,1,4.58,180.28,1,1,2,70,111,2,2,1,2,12,F,Z,E,W,5,A,A,8,8,8,8,A,2,13,452690C,2,1,110,1,6,3,1,1,2,2,2,42,0,1,36,33,14,1222,U
1,016K,16,K,3,2,2,4.58,180.28,4,3,2,71,113,1,1,1,1,1,F,Z,A,W,9,A,A,8,8,8,8,A,2,13,136371R,2,1,89,5,8,3,1,1,2,2,2,34,0,1,39,28,-27,1285,45
1,017M,17,M,3,2,1,22.90,901.41,1,1,1,72,131,2,1,1,2,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,CL23M2C,2,1,U,U,U,U,1,4,2,2,2,42,U,U,U,U,U,U,U
1,017M,17,M,3,2,2,22.90,901.41,5,2,2,74,114,1,3,1,1,10,L,P,M,W,2,A,A,8,8,8,8,A,2,13,3H45K4R,2,1,68,1,1,A,1,5,2,2,2,41,0,1,U,U,U,U,U
1,018N,18,N,3,2,1,114.50,4507.06,1,1,1,69,113,6,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,018N,18,N,3,2,2,114.50,4507.06,3,2,1,69,115,1,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,019C,19,C,3,2,1,19.80,779.39,1,2,1,54,112,3,1,1,71,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,6D47R4Q,2,1,U,U,U,U,1,11,2,2,2,52,U,U,U,U,U,U,U
1,020J,20,J,3,2,1,49.50,1948.47,1,1,1,73,115,7,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,020J,20,J,3,2,2,49.50,1948.47,1,1,1,77,121,33,12,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,021M,21,M,3,2,1,19.80,779.39,1,1,2,76,115,7,1,1,32,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,2J57L6A,2,1,49,1,1,A,1,9,2,2,2,42,0,1,U,U,U,U,U
1,022I,22,I,3,2,1,29.16,1147.68,1,1,2,75,113,10,1,1,2,1,F,D,E,W,2,A,A,8,8,8,8,A,2,13,1237J5S,2,1,50,1,1,A,1,4,2,2,2,35,0,1,U,U,U,U,U
1,022I,22,I,3,2,2,29.16,1147.68,1,2,1,72,113,12,11,1,1,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,CCE142F,2,1,U,U,U,U,1,5,2,2,2,37,U,U,U,U,U,U,U
1,023L,23,L,3,2,1,9.33,367.26,4,1,2,69,114,1,1,1,34,11,F,L,E,N,5,34,0,T,P,G,N,1,1,13,336779M,2,1,104,8,8,3,1,8,1,2,2,35,0,1,U,U,U,U,U
1,024M,24,M,3,2,1,46.65,1836.28,4,1,2,71,113,1,1,1,2,1,F,Z,E,W,2,3,2,R,P,M,N,2,2,13,136371R,2,1,78,1,3,1,1,4,2,2,2,33,0,1,19,-16,-10,537,U
1,024M,24,M,3,2,2,46.65,1836.28,2,2,2,77,113,6,1,1,1,10,L,Z,E,W,2,A,A,8,8,8,8,A,2,13,1Q87U7L,2,1,37,3,4,1,1,5,2,2,2,35,0,1,20,-10,17,340,U
1,024M,24,M,3,2,3,46.65,1836.28,1,2,1,72,121,2,2,1,1,11,L,F,E,W,1,A,A,8,8,8,8,A,2,11,2664518,2,1,141,1,1,A,1,5,2,2,2,41,0,1,12,-11,6,202,U
1,025N,25,N,3,2,1,233.25,9181.42,1,1,1,73,122,5,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,026I,26,I,3,2,1,32.08,1262.91,1,1,1,78,121,34,14,1,2,A,8,8,8,8,A,A,A,8,8,8,8,A,A,11,D80DVEA,2,1,U,U,U,U,1,12,2,2,2,U,U,U,U,U,U,U,U
1,026I,26,I,3,2,2,32.08,1262.91,1,2,2,75,141,1,2,1,1,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,A5A857H,2,1,48,1,1,A,1,12,2,2,2,38,0,1,U,U,U,U,U
1,027L,27,L,3,2,1,10.27,404.13,1,1,3,69,115,1,1,1,37,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,237379A,2,1,U,U,U,U,1,8,2,2,2,36,U,U,U,U,U,U,U
1,028N,28,N,3,2,1,256.67,10103.30,1,1,1,78,861,19,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,028N,28,N,3,2,2,256.67,10103.30,3,2,3,65,113,8,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,029H,29,H,3,2,1,5.62,221.22,2,1,2,77,861,9,1,1,2,U,9,9,9,9,U,A,A,8,8,8,8,A,2,12,KPLF100,2,1,U,U,U,U,1,4,2,2,2,20,U,U,U,U,U,U,U
