H01,H02,H02A,H02B,H03,H05,H07,H08,H09,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V32
1,001N,1,N,3,3,1,1368.00,8606.09,2,1,1,72,3,13,6,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,001N,1,N,3,3,2,1368.00,8606.09,1,2,1,78,2,55,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,001N,1,N,3,3,3,1368.00,8606.09,5,2,1,75,2,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,002K,2,K,3,3,1,16.32,102.67,1,3,2,75,5,7,2,0,0,0,2,81,F,Z,E,W,03,2,3,R,B,E,N,01,VL29B4B300,1,0,52,2,8,3,0,1,1,0,0,0,31,0,0,2,51,-39,-33,1192,1,1,1,1
1,002K,2,K,3,3,2,16.32,102.67,2,3,2,76,2,49,2,0,0,0,1,71,F,D,E,W,03,1,9,L,P,M,N,01,6G21H24000,1,0,43,1,1,0,0,1,1,0,0,0,43,0,0,2,35,-30,18,2592,0,0,1,0
1,002K,2,K,3,3,3,16.32,102.67,2,1,1,72,26,10,3,0,0,0,1,U,9,9,9,9,99,,,,,,,,9999999999,2,0,U,U,U,U,0,1,3,0,0,0,37,0,0,0,U,U,U,U,0,0,0,0
1,003H,3,H,3,3,1,29.28,184.20,2,1,1,75,2,0,50,0,0,0,2,U,9,9,9,9,99,,,,,,,,P35BV10000,1,0,U,U,U,U,0,1,1,0,0,0,U,U,U,0,U,U,U,U,0,0,2,0
1,003H,3,H,3,3,2,29.28,184.20,1,2,2,77,26,9,3,0,0,0,1,U,9,9,9,9,99,,,,,,,,1160244 00,1,0,28,1,1,0,0,1,1,0,0,0,39,0,0,1,96,96,96,U,0,0,1,0
1,004N,4,N,3,3,1,732.00,4605.01,1,1,1,73,7,1,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,004N,4,N,3,3,2,732.00,4605.01,2,1,1,80,4,5,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,005N,5,N,3,3,1,1020.00,6416.82,1,1,1,75,3,6,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,005N,5,N,3,3,2,1020.00,6416.82,2,1,1,80,6,2,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,1,408.00,2566.73,2,1,1,75,2,11,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,2,408.00,2566.73,1,2,1,76,7,33,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,3,408.00,2566.73,1,3,U,76,31,11,1,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,4,408.00,2566.73,1,3,1,75,2,32,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,006N,6,N,3,3,5,408.00,2566.73,1,2,1,73,1,2,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,007N,7,N,3,3,1,408.00,2566.73,3,1,1,74,1,8,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,007N,7,N,3,3,2,408.00,2566.73,1,2,1,74,5,7,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,008C,8,C,3,3,1,105.60,664.33,1,1,1,78,13,4,2,0,0,0,2,12,F,Z,E,W,01,,,,,,,,8Y89S82000,1,0,36,1,1,0,0,1,3,0,0,0,48,0,0,1,96,96,96,U,0,0,0,0
1,009L,9,L,3,3,1,21.12,132.87,1,1,2,76,4,13,2,0,0,0,2,U,9,9,9,9,99,,,,,,,,4X37Y6H000,1,0,64,1,1,0,0,1,3,0,0,0,48,0,0,0,U,U,U,U,0,0,1,0
1,009L,9,L,3,3,2,21.12,132.87,2,3,1,77,13,4,2,0,0,0,1,6,B,D,E,W,01,3,12,F,D,E,W,01,7Y89A80000,1,0,55,1,1,0,0,4,1,0,0,0,49,0,0,1,96,96,96,U,0,0,2,0
1,009L,9,L,3,3,3,21.12,132.87,2,2,1,79,97,0,3,0,0,0,2,U,9,9,9,9,99,,,,,,,,A110000,1,1,U,U,U,U,0,4,1,0,0,0,U,U,U,0,U,U,U,U,0,0,2,0
1,010N,10,N,3,3,1,528.00,3321.65,1,1,1,73,3,4,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
1,011N,11,N,3,3,1,1104.00,6945.26,1,1,1,79,7,31,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,012H,12,H,3,3,1,40.32,253.65,2,1,1,76,6,1,2,0,0,0,2,12,F,D,E,W,01,,,,,,,,3J57R6M000,1,0,61,1,1,0,0,1,3,0,0,0,39,0,0,1,96,96,96,U,0,0,1,0
1,012H,12,H,3,3,2,40.32,253.65,1,2,1,79,85,0,57,1,1,0,1,6,B,D,L,R,0A,,,,,,,,E2327J6A00,1,0,U,1,1,0,0,4,1,0,1,0,U,640,1,1,96,96,96,U,0,0,0,0
1,013J,13,J,3,3,1,246.00,1547.59,1,1,1,74,7,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,013J,13,J,3,3,2,246.00,1547.59,2,1,1,73,5,7,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,014L,14,L,3,3,1,24.00,150.98,1,1,2,74,15,9,2,0,0,0,37,12,F,L,E,N,04,37,12,F,R,E,E,01,HLB2100000,1,0,69,1,2,2,0,1,6,0,0,0,19,0,0,1,96,96,96,U,0,0,1,0
1,015N,15,N,3,3,1,600.00,3774.60,1,1,1,75,3,28,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,015N,15,N,3,3,2,600.00,3774.60,1,2,1,73,8,2,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,016J,16,J,3,3,1,354.00,2227.01,1,1,1,75,U,0,60,U,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,016J,16,J,3,3,2,354.00,2227.01,1,3,1,76,12,1,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
1,016J,16,J,3,3,3,354.00,2227.01,1,2,1,80,6,3,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
1,017L,17,L,3,3,1,22.56,141.92,1,1,2,78,1,6,2,0,0,0,2,12,F,R,E,E,06,47,10,L,B,E,E,02,1Z3748K000,2,0,26,3,3,3,0,1,3,0,0,0,33,0,0,1,96,96,96,U,0,0,1,0
1,017L,17,L,3,3,2,22.56,141.92,2,2,U,77,3,22,2,0,0,0,1,U,9,9,9,9,99,,,,,,,,2 57L4P000,1,0,U,U,U,U,0,4,1,0,0,0,39,U,U,0,U,U,U,U,0,0,1,0
1,018J,18,J,3,3,1,84.00,528.44,1,1,1,79,84,0,50,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,019L,19,L,3,3,1,85.44,537.50,1,1,2,77,6,19,2,0,0,0,46,0,T,D,D,O,04,35,0,T,F,D,N,07,3J57R7R188,1,0,44,1,7,2,0,5,6,1,0,0,37,0,0,1,96,96,96,U,0,0,1,0
1,020N,20,N,3,3,1,2136.00,13437.58,1,1,1,76,7,18,3,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,021J,21,J,3,3,1,204.00,1283.36,3,1,1,78,1,0,51,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
