PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCUPANTS,DR_PRES,DRIV_EXP,MILEAGE,TYPE_OP,BMCS_REG,DR_CLASS,RD_FREQ,DR_TRAIN,SP_VIOL,DWI_VIOL,RD_VIOL,W_SUSPEN,OTH_VIOL,UNK_VIOL,DDRINKNG,DTEST_RS,L_SOURCE,L_STATUS,L_RESTRI,ADD_REST,PREV_SPD,PREV_OTH,PREV_DWI,PREV_SUS,PREV_ACC,D_LANES,D_MEDIAN,D_ACCESS,D_DIRECT,D_SHOU_L,D_SHOU_R,D_ALIGNM,D_GRADE,D_PAVE_T,D_SUR_CO,D_TRA_CO,D_SP_LIM
1,001L,1,L,4,4,1,172.27,557.12,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,1,2,0,2,0,2,1,3,2,0,0,1,1,2,4,0,30
1,002L,2,L,4,4,1,196.26,634.70,1,1,61,150,0,0,0,1,8,1,0,0,0,0,0,0,C,1,3,0,0,2,0,0,1,0,2,5,3,1,0,0,1,1,2,3,0,30
1,003M,3,M,4,4,1,1330.19,4301.83,7,1,U,U,U,U,U,U,U,0,0,0,0,0,0,0,C,1,3,U,U,U,U,U,U,U,2,1,3,2,0,0,1,1,2,1,0,30
1,003M,3,M,4,4,2,1330.19,4301.83,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,1,0,0,1,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,004I,4,I,4,4,1,579.23,1873.23,1,1,U,U,7,U,U,U,U,0,0,0,0,1,0,0,C,1,3,1,0,0,3,0,1,0,4,1,3,2,0,0,1,1,2,1,2,30
1,004I,4,I,4,4,2,579.23,1873.23,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,3,1,3,1,0,0,1,1,2,1,2,30
1,004I,4,I,4,4,3,579.23,1873.23,2,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,3,1,3,1,0,0,1,1,2,1,2,30
1,005L,5,L,4,4,1,147.19,476.01,2,1,61,150,0,0,0,2,2,0,0,0,0,0,0,0,C,1,3,0,0,1,0,0,0,0,3,8,3,1,0,0,1,1,2,1,0,30
1,005L,5,L,4,4,2,147.19,476.01,3,1,3,4,0,0,0,2,2,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,3,30
1,006N,6,N,4,4,1,3679.83,11900.57,2,1,3,U,0,0,0,1,2,0,0,1,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
