PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCCFORMS,VEH_ROLE,TOWAWAY,MOD_YEAR,MAKE,MODEL,BODY_TYP,TOW_VEH,GVWR,CAB_CONF,TRAC_DRO,BODY_CON,AXLES_P,AXLES_T1,AXLES_T2,AXLES_T3,BRAKE_TY,OBJ_CNPR,CLOCK_PR,INCRE_PR,DFORCEPR,DEFLOCPR,LONGITPR,VERTICPR,DISTRIPR,EXTENTPR,OBJ_CNSE,CLOCK_SE,INCRE_SE,DFORCESE,DEFLOCSE,LONGITSE,VERTICSE,DISTRISE,EXTENTSE,MORE_CDC,VIN,REGISTRA,SPEC_USE,ODOMETER,PC_INTEG,PC_INTRU,MAG_INTR,FIRE,IMP_TYPE,OTH_ROLE,ROLLOVER,J_KNIFE,SAFETY_B,HAZCARGO,CURB_WT,CARGO_WT,WT_SOURC,DV_SOURC,DV_TOTAL,DV_LONG,DV_LAT,ENERGY,DV_L,DV_C1,DV_C2,DV_C3,DV_C4,DV_C5,DV_C6,DV_D,VDEATHS,VINJ_SER,VINJURY
1,001L,1,L,3,4,1,172.27,557.12,1,1,2,67,21,2,2,0,0,0,0,0,0,0,0,0,0,31,U,U,U,9,9,9,9,99,,,,,,,,,,0,352877X122,1,0,U,U,U,U,0,1,6,0,0,0,0,41,U,U,0,U,U,U,U,,,,,,,,,0,0,1
1,002L,2,L,3,4,1,196.26,634.70,1,1,3,69,6,10,2,0,0,0,0,0,0,0,0,0,0,31,U,U,U,9,9,9,9,99,,,,,,,,,,0,CE23G9C105,1,0,U,U,U,U,0,1,6,0,0,0,0,42,0,0,0,U,U,U,U,,,,,,,,,0,1,1
1,003M,3,M,3,4,1,1330.19,4301.83,1,2,U,77,23,85,27,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,0,TBH5307A,1,3,U,U,U,U,0,3,4,0,0,0,0,U,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
1,003M,3,M,3,4,2,1330.19,4301.83,1,1,2,76,12,11,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,6W82F18142,1,0,U,U,U,U,0,2,4,0,0,0,0,35,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
1,004I,4,I,3,4,1,579.23,1873.23,1,1,2,76,12,81,55,0,1,U,0,U,U,0,0,0,2,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,C61EVC1326,8,0,U,U,U,U,0,1,2,0,0,0,0,U,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
1,004I,4,I,3,4,2,579.23,1873.23,1,3,2,80,20,10,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,3,U,U,U,9,9,9,9,99,0,1Z37KAK449,1,0,U,U,U,U,0,2,1,0,0,0,0,33,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
1,004I,4,I,3,4,3,579.23,1873.23,2,2,U,77,12,5,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,7H25F10762,1,0,U,U,U,U,0,2,4,0,0,0,0,40,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,005L,5,L,3,4,1,147.19,476.01,2,1,1,79,49,3,2,0,0,0,0,0,0,0,0,0,0,2,U,U,U,9,9,9,9,99,,,,,,,,,,0,RA42232210,1,U,U,U,U,U,0,3,1,0,0,0,0,25,U,U,0,U,U,U,U,,,,,,,,,0,0,2
1,005L,5,L,3,4,2,147.19,476.01,3,2,1,77,20,1,2,0,0,0,0,0,0,0,0,0,0,1,U,U,U,9,9,9,9,99,,,,,,,,,,0,1D37V71435,1,0,39,U,U,U,0,3,1,0,0,0,0,38,U,U,0,U,U,U,U,,,,,,,,,0,0,0
1,006N,6,N,3,4,1,3679.83,11900.57,2,1,1,75,18,2,2,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,2
