PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,HPMS,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
1,001B,1,B,4,5,1,1,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,U,U,2,0,0,3,0,,0,0,1,1,2,3,0,0,30,U,U,U,U,U,U,157.10,338.71,477.91
1,002W,2,W,4,5,1,1,1,12,10,90,0,0,0,0,2,40,13,0,0,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,2,0,0,0,0,0,0,U,4,0,0,3,3,,0,0,1,1,2,2,1,3,30,34,0,0,0,0,0,132.93,286.60,354.91
1,002W,2,W,4,5,2,1,1,61,210,110,0,0,0,0,2,32,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,1,2,2,1,0,0,0,0,0,U,3,0,0,3,0,,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,132.93,286.60,354.91
1,003V,3,V,4,5,1,1,1,42,60,70,0,0,0,2,1,19,15,16,0,0,0,0,0,0,0,0,0,1,0,0,C,1,0,2,2,0,0,0,0,0,0,U,3,0,0,3,0,,0,0,2,1,2,4,0,0,35,0,0,0,0,0,0,108.76,234.49,207.56
1,004R,4,R,4,5,1,1,1,61,150,60,0,0,0,0,4,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,C,1,0,2,2,0,0,0,2,1,0,1,2,0,0,3,0,0000000000000,0,0,1,1,2,1,1,3,25,0,0,0,0,0,0,229.61,495.04,431.76
1,004R,4,R,4,5,2,1,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0000000000000,0,0,1,1,2,1,1,3,25,0,0,0,0,0,0,229.61,495.04,431.76
1,005W,5,W,4,5,1,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,U,U,6,0,0,1,3,,2,2,1,1,2,1,0,0,45,0,0,0,0,0,0,241.69,521.08,645.27
1,005W,5,W,4,5,2,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,2,0,0,0,U,6,0,0,1,3,,2,2,1,1,2,1,0,0,45,0,0,0,0,0,0,241.69,521.08,645.27
1,006V,6,V,4,5,1,1,1,U,U,U,0,0,0,U,U,32,U,U,U,U,0,0,0,0,0,0,0,1,0,0,C,1,U,2,2,0,0,2,0,0,0,U,2,3,U,3,1,,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,586.10,1263.63,1118.49
1,006V,6,V,4,5,2,3,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,U,1,U,U,U,U,U,U,U,U,U,U,3,3,U,3,1,,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,586.10,1263.63,1118.49
