PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
1,001B,1,B,3,5,1,1,1,1,U,U,U,9,0,0,19,0,0,0,0,0,0,0,1,,,,71,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,U,U,U,U,U,U,0,U,7,0,0,0,U,U,U,U,4,U,U,U,U,,,,,,,,,U,U,U,U,U,U,998,0,0,0,0,U,157.10,338.71,477.91,U,U
1,002W,2,W,3,5,1,1,1,1,73,12,6,2,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,3G68S20393,1,0,U,U,U,U,0,1,1,0,0,0,0,43,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,26,0,0,0,11,6,132.93,286.60,354.91,121.0,U
1,002W,2,W,3,5,2,1,1,2,77,12,9,6,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,11,,,,F,,,,L,,,,E,,,,W,,,,02,,,,1,,,,7X12Y98046,1,0,36,1,1,0,0,1,1,0,0,0,0,26,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,43,0,0,0,11,6,132.93,286.60,354.91,94.5,94.8
1,003V,3,V,3,5,1,1,1,2,74,12,3,2,0,0,4,0,0,0,0,0,0,0,1,,,,35,,,,10,,,,L,,,,F,,,,E,,,,W,,,,04,,,,1,,,,4F02Y38518,1,0,64,1,1,0,0,2,6,0,0,0,0,28,0,0,1,19,-10,17,335,79,3,78,29,51,43,6,173,U,0,0,0,1,1,998,0,0,1,11,4,108.76,234.49,207.56,96.2,U
1,004R,4,R,3,5,1,1,1,2,74,18,3,2,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,4V37T4Y161,1,0,U,U,U,U,0,1,3,0,0,0,0,48,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,0,0,0,13,6,229.61,495.04,431.76,127.0,U
1,004R,4,R,3,5,2,1,2,1,79,20,74,40,0,8,40,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,CGL2590183,1,0,U,U,U,U,0,4,1,0,0,0,0,U,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,8,0,48,0,0,0,13,6,229.61,495.04,431.76,U,U
1,005W,5,W,3,5,1,1,1,U,79,87,89,75,0,4,98,0,U,U,U,U,1,6,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,M366469,2,U,U,U,U,U,0,1,3,0,1,0,U,U,U,U,3,U,U,U,U,,,,,,,,,U,0,0,0,8,7,123,0,0,1,7,U,241.69,521.08,645.27,U,U
1,005W,5,W,3,5,2,1,2,1,U,23,81,75,4,2,98,0,U,U,U,U,1,6,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,GDT9C4J2BV,1,U,U,U,U,U,0,4,1,0,1,0,U,123,U,U,3,U,U,U,U,,,,,,,,,U,0,0,0,8,0,U,0,0,0,16,6,241.69,521.08,645.27,U,U
1,006V,6,V,3,5,1,1,1,U,81,9,11,4,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1P3BK26B0B,1,0,U,U,U,U,0,1,1,0,0,0,0,23,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,2,0,31,0,0,0,17,6,586.10,1263.63,1118.49,U,U
1,006V,6,V,3,5,2,3,1,3,80,22,1,2,0,0,19,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,2D27KAP595,1,0,U,U,U,U,0,1,1,0,0,0,0,31,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,1,7,23,0,0,3,13,U,586.10,1263.63,1118.49,108.1,U
1,007V,7,V,3,5,1,1,1,2,79,20,10,2,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,U,,,,1Z37J9K530,1,0,U,U,U,U,0,1,3,0,0,0,0,32,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,7,37,0,0,1,13,U,24.17,52.11,46.12,108.1,U
1,007V,7,V,3,5,2,3,2,U,72,12,10,2,0,0,19,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,2H30H24297,1,0,U,U,U,U,0,4,1,0,0,0,0,37,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,1,7,32,0,0,2,11,3,24.17,52.11,46.12,114.0,118.0
1,008V,8,V,3,5,1,4,1,2,69,20,U,4,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,U,,,,9999999999,1,0,U,U,U,U,0,1,2,0,0,0,0,U,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,U,0,35,0,0,0,0,6,169.18,364.75,322.86,U,U
1,008V,8,V,3,5,2,2,2,1,81,20,2,4,0,0,19,0,0,0,0,0,0,0,2,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,U,,,,9999999999,1,5,U,U,U,U,0,2,1,0,0,0,0,35,U,U,5,U,U,U,U,,,,,,,,,U,0,0,0,1,7,U,0,0,2,0,4,169.18,364.75,322.86,U,U
1,009V,9,V,3,5,1,1,1,2,70,19,3,4,0,0,6,0,0,0,0,0,0,0,1,,,,35,,,,12,,,,F,,,,R,,,,E,,,,W,,,,03,,,,1,,,,B0264673,1,0,89,1,1,0,0,1,6,0,0,0,0,48,0,0,1,20,-20,0,379,170,0,4,8,14,20,70,0,U,0,0,0,1,1,998,0,0,1,8,4,84.59,182.38,161.43,129.5,U
