PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
1,001Z,1,Z,4,6,1,1,1,U,U,U,0,0,0,U,U,1,0,0,9,U,0,0,0,0,0,0,0,0,0,U,C,1,0,2,2,0,0,0,0,0,0,U,1,0,0,3,3,0,0,1,1,2,1,0,0,30,U,U,U,0,0,0,1056.000,1366.464,1349.902
1,002V,2,V,4,6,1,3,1,61,U,120,0,0,0,2,1,1,U,U,U,U,0,0,0,0,1,0,0,0,0,0,C,1,3,2,2,1,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,20,3,30,0,0,0,0,0,0,42.000,54.348,52.481
1,002V,2,V,4,6,2,3,1,61,250,70,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,42.000,54.348,52.481
1,003C,3,C,4,6,1,1,1,U,U,U,0,0,0,U,U,22,21,16,0,U,0,0,0,0,0,0,0,0,0,U,C,U,U,U,U,U,U,U,U,U,U,U,3,3,4,3,1,0,0,1,1,2,1,2,3,30,U,U,U,U,U,U,296.000,383.024,396.125
1,004M,4,M,4,6,1,2,1,U,U,U,U,U,U,U,U,58,38,1,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,84.857,109.805,119.601
1,005V,5,V,4,6,1,1,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,1,1,0,0,U,2,0,0,3,0,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,148.500,192.159,185.556
1,005V,5,V,4,6,2,1,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,1,1,0,0,U,2,0,0,3,0,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,148.500,192.159,185.556
1,006M,6,M,4,6,1,1,1,U,U,U,0,0,0,U,U,81,U,U,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,1,0,0,0,U,1,0,0,3,3,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,14.863,19.233,20.948
1,007W,7,W,4,6,1,3,1,61,1,100,0,0,0,8,1,1,0,0,0,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,2,0,0,0,0,0,0,U,4,1,42,3,1,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,52.020,67.314,67.621
1,008W,8,W,4,6,1,1,1,U,U,U,0,0,0,U,U,1,U,U,1,U,0,0,0,0,0,0,0,0,0,8,C,U,U,U,U,U,U,U,U,U,U,U,2,0,0,3,0,0,0,1,1,2,1,20,3,30,0,0,0,0,0,0,52.020,67.314,67.621
