PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,OTBDYTYP,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
1,001Z,1,Z,3,6,1,1,1,1,74,20,2,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,U,N,98,1,0,0,N,U,1056.000,1366.464,1349.902,N,N
1,002V,2,V,3,6,1,3,1,U,74,1,7,3,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,A4E037E512,1,0,U,U,U,U,0,1,2,0,0,0,0,28,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,7,48,2,0,0,1,13,4,42.000,54.348,52.481,U,U
1,002V,2,V,3,6,2,3,2,2,74,18,3,2,0,0,19,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,4X37T4H489,1,0,U,U,U,U,0,2,1,0,0,0,0,48,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,28,3,0,0,0,13,6,42.000,54.348,52.481,127.0,U
1,003C,3,C,3,6,1,1,1,1,76,18,2,4,0,0,19,0,0,0,0,0,0,0,1,,,,81,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,4N69C6H570,1,0,U,U,U,U,0,1,7,0,0,0,0,42,U,U,7,U,U,U,U,,,,,,,,,U,U,U,U,1,U,998,98,0,0,0,13,U,296.000,383.024,396.125,124.0,U
1,004M,4,M,3,6,1,2,1,1,82,12,84,78,0,U,98,U,U,U,U,U,U,6,1,,,,31,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,1,0,U,U,U,U,0,3,6,0,0,0,U,U,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,8,0,998,98,0,0,0,0,6,84.857,109.805,119.601,U,U
1,005V,5,V,3,6,1,1,1,2,83,14,12,4,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1MEBP86X60,1,0,U,U,U,U,0,1,2,0,0,0,0,28,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,4,0,0,0,17,U,148.500,192.159,185.556,U,U
1,005V,5,V,3,6,2,1,2,U,78,20,2,4,0,0,19,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,1,U,U,U,U,U,0,3,1,0,0,0,0,U,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,7,28,4,0,0,1,0,U,148.500,192.159,185.556,U,U
1,006M,6,M,3,6,1,1,1,1,79,23,79,53,0,4,53,0,0,0,0,0,0,0,1,,,,31,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,TCL339V555,1,0,U,U,U,U,0,4,7,0,0,0,U,U,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,8,0,998,98,0,0,0,13,6,14.863,19.233,20.948,U,U
1,007W,7,W,3,6,1,3,1,2,69,6,10,2,0,0,19,0,0,0,0,0,0,0,1,,,,35,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,1,0,U,U,U,U,0,1,6,0,0,0,0,44,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,998,98,0,0,0,0,6,52.020,67.314,67.621,U,U
1,008W,8,W,3,6,1,1,1,1,74,12,9,2,0,0,19,0,0,0,0,0,0,0,1,2,,,2,3,,,1,6,,,F,R,,,L,B,,,E,E,,,E,S,,,01,01,,,1,2,,,4X10X17211,1,0,U,1,1,0,0,1,2,0,0,0,0,24,U,U,7,U,U,U,U,,,,,,,,,U,0,0,0,1,U,38,40,0,0,0,11,U,52.020,67.314,67.621,94.2,U
1,008W,8,W,3,6,2,2,1,1,78,12,74,40,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,12,,,,L,,,,F,,,,E,,,,S,,,,01,,,,1,,,,E15BEAJ623,1,0,41,1,1,0,0,2,1,0,0,0,0,38,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,8,0,24,2,0,0,0,11,6,52.020,67.314,67.621,U,U
1,008W,8,W,3,6,3,1,2,1,70,20,2,2,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,12,,,,L,,,,P,,,,M,,,,S,,,,01,,,,2,,,,164370J129,1,0,89,1,1,0,0,2,2,0,0,0,0,39,0,0,7,U,U,U,U,,,,,,,,,0,0,0,0,1,0,24,2,0,0,0,13,6,52.020,67.314,67.621,119.0,U
1,009M,9,M,3,6,1,1,1,1,81,83,89,77,0,U,98,U,3,U,U,U,1,6,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1HTL23271,2,0,U,U,U,U,0,U,U,0,1,0,U,U,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,8,U,39,4,0,0,0,17,U,78.000,100.932,109.936,U,U
1,009M,9,M,3,6,2,2,U,1,80,18,3,4,0,0,19,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,4W69NAH496,1,0,U,U,U,U,0,U,U,0,0,0,0,39,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,77,0,0,0,13,6,78.000,100.932,109.936,118.9,U
1,010V,10,V,3,6,1,1,1,1,74,14,10,2,0,0,6,0,0,0,0,0,0,0,2,1,,,31,2,,,12,12,,,F,F,,,R,L,,,L,L,,,E,U,,,01,01,,,2,1,,,4H07F59406,1,0,65,1,1,0,0,1,7,0,0,0,0,40,0,0,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,998,98,0,0,0,11,6,136.500,176.631,170.562,114.0,118.0
1,010V,10,V,3,6,2,5,1,1,77,20,11,2,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,12,,,,L,,,,Z,,,,M,,,,S,,,,01,,,,1,,,,1V11B7U158,1,0,67,1,1,0,0,2,1,0,0,0,0,25,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,1,0,40,2,0,0,0,13,6,136.500,176.631,170.562,97.0,U
1,011Q,11,Q,3,6,1,1,1,1,80,19,3,4,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,R,,,,Z,,,,M,,,,S,,,,01,,,,1,,,,6B696A9173,1,0,28,1,1,0,0,3,2,0,0,0,0,42,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,1,0,26,5,0,0,0,13,6,132.000,170.808,142.496,121.4,U
1,011Q,11,Q,3,6,2,1,1,1,82,20,15,5,0,0,5,0,0,0,0,0,0,0,1,,,,1,,,,6,,,,L,,,,Y,,,,M,,,,S,,,,01,,,,1,,,,1G1AX68X1C,1,0,15,1,1,0,0,2,2,0,0,0,0,26,0,0,7,U,U,U,U,,,,,,,,,U,0,0,0,2,0,42,4,0,0,0,17,6,132.000,170.808,142.496,U,U
1,011Q,11,Q,3,6,3,1,1,U,81,69,69,28,0,0,19,0,0,0,0,0,0,0,2,1,,,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,1360,0,0,U,0,0,0,0,U,6,0,0,0,0,U,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,8,7,998,98,0,0,1,4,U,132.000,170.808,142.496,U,U
1,012Q,12,Q,3,6,1,1,1,U,78,20,2,4,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,1N69U8J259,U,0,U,U,U,U,0,1,3,0,0,0,0,38,U,U,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,50,0,0,0,13,6,60.000,77.640,64.771,116.0,U
1,012Q,12,Q,3,6,2,1,2,3,U,12,73,50,0,4,30,0,0,0,0,0,0,0,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,9999999999,U,0,U,U,U,U,0,4,1,0,0,0,0,U,U,U,8,U,U,U,U,,,,,,,,,0,0,0,0,8,1,38,4,0,0,1,0,U,60.000,77.640,64.771,U,U
1,013V,13,V,3,6,1,1,1,1,76,20,2,4,0,0,6,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,L,,,,L,,,,U,,,,01,,,,1,,,,1L39V61226,1,0,66,1,1,0,0,1,3,0,0,0,0,43,0,0,8,U,U,U,U,,,,,,,,,U,0,0,0,1,0,22,4,0,0,0,13,6,60.000,77.640,74.972,121.5,125.0
1,013V,13,V,3,6,2,2,2,1,82,37,32,4,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,6,,,,B,,,,R,,,,L,,,,U,,,,01,,,,1,,,,JHMSZ3424C,1,0,6,1,1,0,0,4,1,0,0,0,0,22,0,0,8,U,U,U,U,,,,,,,,,U,0,0,0,2,0,43,4,0,0,0,17,6,60.000,77.640,74.972,U,U
1,014M,14,M,3,6,1,1,U,1,78,21,2,2,0,0,19,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,3N37F8M169,1,0,U,U,U,U,0,U,U,0,0,0,0,36,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,78,0,0,0,13,6,176.571,228.483,248.867,116.0,U
1,014M,14,M,3,6,2,2,U,1,74,20,89,78,0,U,98,0,U,U,U,U,U,U,1,,,,1,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,CCE624V139,1,0,U,U,U,U,0,U,U,0,0,0,U,U,U,U,6,U,U,U,U,,,,,,,,,U,0,0,0,8,0,36,2,0,0,0,13,6,176.571,228.483,248.867,U,U
