PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,PSUWGT,NATWGT,RATWGT,DRINKING,ALCTEST,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,DRTRAIN,LASTRAIN,FREQDRIV,TYPEOP,BMCSREG,DRCLASS,ACCTYPE,AVOIDMAN,RELFACT,VIOCHAR1,VIOCHAR2,LSTATUS,LTYPCOMP,LREST,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,FEDAID,CLASTRAF,ROADFUNC,LANES,LANEWIDT,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,SLOPE,SUPELEV,CURVE,GRADE,PROFILE,SURTYPE,SURCOND,SPLIMIT,RESTRICT,TRAFCONT,TRCTLFCT,TRUCKSYS,ENVRF
1,001B,1,B,4,9,40.000,51.760,50.945,0,C,1,1,1,61,2,2,0,0,5,0,0,0,88,8,1,0,0,5,3,0,0,0,0,0,U,3,6,15,2,130,0,0,3,0,0,0,1,2,98,0,0,1,2,2,30,0,0,0,0,0
1,001B,1,B,4,9,40.000,51.760,50.945,U,C,2,1,1,U,U,U,U,U,U,0,0,0,89,U,9,0,0,5,3,0,0,0,0,0,U,5,6,16,2,160,0,0,3,3,0,0,1,2,98,0,0,1,2,2,30,0,20,6,0,0
1,002C,2,C,4,9,94.000,121.636,119.480,U,C,1,3,1,N,N,N,N,N,N,0,0,0,20,N,1,1,0,0,0,0,5,3,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,U,U,N,N,0,0
1,002C,2,C,4,9,94.000,121.636,119.480,0,C,2,2,1,N,N,N,N,N,N,0,0,0,21,N,1,0,0,U,U,U,U,U,U,U,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,U,U,N,N,0,0
1,004E,4,E,4,9,847.000,1096.018,1123.687,U,C,1,1,1,N,N,N,N,N,N,0,0,0,45,N,1,0,0,0,0,0,0,0,0,0,U,3,6,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,0
1,004E,4,E,4,9,847.000,1096.018,1123.687,U,C,2,1,1,N,N,N,N,N,N,0,0,0,44,N,1,0,0,0,0,0,4,2,0,0,U,3,6,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,0
1,005A,5,A,4,9,20.000,25.880,24.383,0,C,1,1,1,U,U,U,U,U,U,0,0,0,1,U,1,0,0,6,3,1,1,0,0,0,U,3,6,15,2,164,4,4,3,1,1,2,1,2,98,0,0,1,2,2,30,0,1,3,0,0
1,006C,6,C,4,9,94.000,121.636,119.480,U,C,1,1,1,U,U,U,U,U,U,U,U,U,92,U,98,0,0,U,U,U,U,U,U,U,U,3,6,15,4,106,0,0,3,0,0,0,1,2,98,0,0,1,2,1,30,0,0,0,0,0
1,006C,6,C,4,9,94.000,121.636,119.480,0,C,2,2,1,U,U,U,U,U,U,0,0,0,93,U,1,0,0,5,3,0,0,0,0,0,U,3,6,15,4,106,0,0,3,0,0,0,1,2,98,0,0,1,2,1,30,0,0,0,0,0
1,007C,7,C,4,9,94.000,121.636,119.480,U,C,1,1,1,N,N,N,N,N,N,0,0,0,98,N,1,0,0,5,3,0,2,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,U,N,N,0,0
1,008E,8,E,4,9,847.000,1096.018,1123.687,U,C,1,1,1,N,N,N,N,N,N,0,0,0,11,N,1,0,0,U,U,U,U,U,U,U,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,U,N,N,0,0
1,009B,9,B,4,9,40.000,51.760,50.945,U,C,1,U,1,U,U,U,U,U,U,U,U,U,86,U,9,0,0,U,U,U,U,U,U,U,U,5,6,16,2,82,0,0,3,0,0,0,1,2,98,0,0,1,1,1,30,0,20,6,0,0
1,009B,9,B,4,9,40.000,51.760,50.945,0,C,2,1,1,61,20,60,0,0,1,0,0,0,87,2,1,0,0,U,U,U,U,U,U,U,U,5,6,16,2,170,0,0,3,0,0,6,1,2,98,0,0,1,2,1,30,0,0,0,0,0
1,010D,10,D,4,9,282.000,364.908,369.466,0,C,1,4,1,N,N,N,N,N,N,0,0,0,98,N,1,98,0,5,3,2,1,0,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,U,N,N,0,0
1,011C,11,C,4,9,94.000,121.636,119.480,0,C,1,1,1,U,U,U,U,U,U,0,0,0,98,U,1,0,0,5,3,0,0,0,0,0,U,3,6,15,4,125,0,0,3,0,0,0,1,2,98,0,0,1,2,2,30,0,0,0,0,0
1,012E,12,E,4,9,847.000,1096.018,1123.687,0,C,1,1,1,N,N,N,N,N,N,0,0,0,82,N,1,0,0,5,3,2,0,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,U,N,N,0,0
1,012E,12,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,N,N,N,N,N,N,0,0,0,82,N,1,98,0,5,3,0,0,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,U,N,N,0,0
1,013B,13,B,4,9,40.000,51.760,50.945,0,C,1,1,1,U,U,U,U,U,U,0,0,0,68,U,9,7,0,5,3,1,0,0,0,0,U,3,6,14,3,126,0,0,3,0,0,0,1,2,98,0,0,1,2,1,30,0,1,3,0,0
1,013B,13,B,4,9,40.000,51.760,50.945,0,C,2,1,1,61,30,200,0,0,1,0,0,0,69,1,1,0,0,6,3,0,0,0,0,0,U,3,6,14,3,126,0,0,3,0,0,0,1,1,98,0,0,1,2,1,30,0,1,3,0,0
1,014C,14,C,4,9,94.000,121.636,119.480,0,C,1,2,1,N,N,N,N,N,N,0,0,0,86,N,11,7,0,5,3,0,0,0,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,014C,14,C,4,9,94.000,121.636,119.480,0,C,2,1,1,N,N,N,N,N,N,0,0,0,87,N,1,0,0,5,3,1,0,0,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,015E,15,E,4,9,847.000,1096.018,1123.687,0,C,1,5,1,N,N,N,N,N,N,U,U,U,93,N,1,0,0,U,U,U,U,U,U,U,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,0
1,015E,15,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,N,N,N,N,N,N,0,0,0,93,N,1,98,0,5,3,1,0,0,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,30,0,N,N,0,0
1,016C,16,C,4,9,94.000,121.636,119.480,0,C,1,6,1,U,U,U,U,U,U,0,0,0,2,U,4,98,0,5,3,0,0,0,0,0,U,3,6,14,3,195,4,3,3,1,1,2,1,2,98,0,0,1,2,2,30,0,1,3,0,22
1,017D,17,D,4,9,282.000,364.908,369.466,0,C,1,1,1,N,N,N,N,N,N,0,0,0,20,N,1,6,0,5,3,1,0,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,0
1,017D,17,D,4,9,282.000,364.908,369.466,0,C,2,1,1,N,N,N,N,N,N,0,0,0,21,N,1,0,0,5,3,0,0,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,0
1,018E,18,E,4,9,847.000,1096.018,1123.687,U,C,1,U,1,N,N,N,N,N,N,0,0,0,11,N,1,0,0,U,U,U,U,U,U,U,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,019B,19,B,4,9,40.000,51.760,50.945,0,C,1,4,1,2,10,10,1,2,2,0,0,0,13,3,1,0,0,5,3,0,0,0,0,0,U,3,6,14,2,140,0,0,3,0,0,0,1,2,98,0,0,1,2,1,25,0,0,0,0,0
1,020C,20,C,4,9,94.000,121.636,119.480,U,C,1,U,1,N,N,N,N,N,N,U,U,U,13,N,9,0,0,U,U,U,U,U,U,U,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,U,0,N,N,0,0
1,021E,21,E,4,9,847.000,1096.018,1123.687,U,C,1,1,1,N,N,N,N,N,N,0,0,0,46,N,1,0,0,5,3,0,0,1,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,U,0,N,N,0,0
1,021E,21,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,N,N,N,N,N,N,0,0,0,46,N,1,0,0,5,3,3,0,0,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,U,0,N,N,0,0
1,022B,22,B,4,9,40.000,51.760,50.945,0,C,1,2,1,U,U,U,U,U,U,U,U,U,13,U,1,98,U,5,2,0,1,0,0,0,U,3,6,15,4,110,4,7,3,1,2,0,1,2,98,0,0,1,2,3,30,0,2,3,0,0
1,023C,23,C,4,9,94.000,121.636,119.480,0,C,1,1,1,U,U,U,U,U,U,0,0,0,98,U,1,0,0,6,3,0,0,1,0,0,U,5,6,16,1,120,0,0,3,3,0,0,1,2,98,0,0,U,2,1,30,0,0,0,0,0
1,024D,24,D,4,9,282.000,364.908,369.466,U,C,1,1,1,N,N,N,N,N,N,0,0,0,11,N,U,0,0,U,U,U,U,U,U,U,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,U
1,025E,25,E,4,9,847.000,1096.018,1123.687,8,C,1,1,1,N,N,N,N,N,N,0,0,0,78,N,9,0,0,0,0,0,1,1,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,025E,25,E,4,9,847.000,1096.018,1123.687,U,C,2,16,1,N,N,N,N,N,N,U,U,U,79,N,1,0,0,6,3,0,0,1,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,U,N,N,0,0
1,026C,26,C,4,9,94.000,121.636,119.480,0,C,1,3,1,U,U,U,U,U,U,0,0,0,13,U,1,0,0,U,U,U,U,U,U,U,U,3,6,13,2,190,0,0,3,0,0,0,1,2,98,0,0,1,2,2,35,0,0,0,0,0
1,027B,27,B,4,9,40.000,51.760,50.945,1,C,1,1,1,U,U,U,U,U,U,0,0,0,11,U,U,98,0,5,3,0,0,0,0,0,U,5,6,16,2,85,0,0,3,0,0,0,1,2,98,0,0,1,2,2,30,0,0,0,0,0
1,028D,28,D,4,9,282.000,364.908,369.466,0,C,1,2,1,N,N,N,N,N,N,0,0,0,11,N,U,98,98,0,0,0,0,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,U,N,N,0,U
1,029E,29,E,4,9,847.000,1096.018,1123.687,0,C,1,1,1,N,N,N,N,N,N,0,0,0,86,N,U,0,0,5,3,0,0,0,0,0,U,3,6,13,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,U
1,029E,29,E,4,9,847.000,1096.018,1123.687,0,C,2,1,1,N,N,N,N,N,N,0,0,0,87,N,9,0,0,5,3,0,0,2,0,0,U,5,6,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,30,0,N,N,0,U
1,030C,30,C,4,9,94.000,121.636,119.480,8,C,1,U,1,U,U,U,U,U,U,0,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,3,6,14,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
1,031E,31,E,4,9,847.000,1096.018,1123.687,0,C,1,1,1,N,N,N,N,N,N,0,0,0,24,N,U,0,0,0,0,0,1,0,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,U
1,031E,31,E,4,9,847.000,1096.018,1123.687,0,C,2,2,1,N,N,N,N,N,N,0,0,0,25,N,U,0,0,5,3,1,0,0,0,0,U,3,6,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,30,0,N,N,0,0
1,032C,32,C,4,9,94.000,121.636,119.480,,,1,0,2,,,,,,,,,,,,,,,,,,,,,,,3,6,15,2,210,0,0,3,0,0,0,1,1,98,0,0,1,2,4,35,0,0,0,0,0
1,032C,32,C,4,9,94.000,121.636,119.480,0,C,2,2,1,U,U,U,U,U,U,0,0,0,66,1,98,0,0,U,U,U,U,U,U,U,U,3,6,15,2,210,0,0,3,0,0,0,1,1,98,0,0,1,2,4,35,0,0,0,0,0
