PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,HITRUN,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,REGISTRA,VIN,BODYTYPE,TOWHITCH,SEATCAP,TCAXLE1,TCAXLE2,TCAXLE3,TCAXLE4,TCTIRE1,TCTIRE2,TCTIRE3,TCTIRE4,TCCOND1,TCCOND2,TCCOND3,TCCOND4,LMIRROR,RMIRROR,OVERRIDE,REARTURN,CABCONF,AXLESP,AXLEST1,AXLEST2,AXLEST3,TRAILER1,TRAILER2,TRAILER3,MAXWIDTH,MAXLEN,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,OBJCONT1,OBJCONT2,DOF1,DOF2,GAD1,GAD2,SHL1,SHL2,SVL1,SVL2,TDD1,TDD2,EXTENT1,EXTENT2,ACCSEQ1,ACCSEQ2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,SPECUSE,ODOMETER,PCINTEG,DPCOMPNT,DPINTRSN,DOCOMPNT,DOINTRSN,PPCOMPNT,PPINTRSN,POCOMPNT,POINTRSN,STEERSEP,STEERDEF,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,TRAVELSP,VINLNGTH,VINJSER,VINJURED,VTREAT,DRIVE,OTVEHWGT,OTBDYTYP,VAIS,WHEELSHT,WHEELLNG
1,001B,1,B,3,9,1,1,1,1,1,83,20,16,N,1G1AD27P7D,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,3,0,0,N,24,U,U,3,19,-19,3,140,U,17,0,0,U,2,45,4,U,U,U
1,001B,1,B,3,9,2,0,2,3,2,78,14,6,N,8Z66,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,11,6,F,B,L,L,E,E,E,W,04,01,2,1,76,7,3,1,0,0,0,0,76,5,4,2,1,0,0,0,2,N,76,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,45,0,0,1,10,-8,5,209,U,11,0,1,0,1,37,4,1,U,U
1,001B,1,B,3,9,3,0,2,2,2,84,12,16,N,1FABP43F1E,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,10,9,L,L,P,F,E,L,W,N,03,01,2,3,73,0,5,10,8,3,0,-4,7,1,1,,,,,92,1,N,74,7,6,3,97,3,0,0,0,0,1,0,0,2,1,0,0,N,37,0,0,1,11,-6,10,165,U,17,0,2,4,1,45,4,1,U,U
1,002C,2,C,3,9,1,0,2,1,3,78,12,3,N,F8F03F,3,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,3,,F,,L,,E,,S,,01,,1,,,,,,,,,,,,,,,,,,1,N,81,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,30,0,0,8,U,U,U,U,U,13,0,0,0,1,28,4,0,U,U
1,002C,2,C,3,9,2,0,2,2,U,84,20,17,N,1G1AW19X1E,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,2,1,0,0,N,28,U,U,8,U,U,U,U,0,17,0,1,4,2,30,3,2,U,U
1,003B,3,B,3,9,1,0,1,1,1,74,12,10,N,4G21,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,56,,12,,F,,Z,,L,,W,,01,,1,,,,,,,,,,,,,,,,,,1,N,95,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,N,40,0,0,8,U,U,U,U,U,11,0,1,4,1,998,98,1,114.0,118.0
1,004B,4,B,3,9,1,0,1,1,2,76,12,9,N,6X12,6,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,11,,F,,D,,E,,W,,01,,1,,57,12,5,5,1,1,1,0,,,,,,,,,1,N,54,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,28,0,0,7,U,U,U,U,U,11,0,0,0,1,24,4,0,94.5,94.8
1,004B,4,B,3,9,2,0,1,2,4,85,20,16,N,1G1JD69P7F,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,3,1,0,0,N,24,U,U,7,U,U,U,U,U,17,0,0,U,2,28,6,0,U,U
1,005C,5,C,3,9,1,0,1,1,2,86,34,35,N,WBAAB5409G,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,11,,F,,D,,E,,W,,01,,1,,55,4,2,1,1,1,1,0,,,,,,,,,1,N,13,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,27,0,0,8,U,U,U,U,U,17,0,0,0,1,37,2,0,U,U
1,005C,5,C,3,9,2,0,1,3,2,83,21,2,N,1G3AY37YXD,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,U,U,9,9,9,9,9,9,9,9,99,99,1,2,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,3,1,0,0,N,37,U,U,8,U,U,U,U,U,17,0,1,U,1,27,2,7,U,U
1,005C,5,C,3,9,3,0,1,2,1,76,12,3,N,6F02,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,11,,F,,D,,E,,W,,01,,3,,50,5,2,0,0,0,0,0,,,,,,,,,1,N,78,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,28,0,0,8,U,U,U,U,U,11,0,0,0,1,37,2,0,96.2,U
1,006B,6,B,3,9,1,0,1,2,2,78,12,6,N,8P64,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,9,7,L,B,Y,R,E,E,W,N,02,01,2,1,153,0,1,10,10,1,0,25,77,0,0,3,7,10,0,0,1,N,157,7,7,3,0,0,0,0,0,0,1,0,0,2,1,0,0,N,43,0,0,7,U,U,U,U,U,11,0,1,4,1,39,51,7,121.0,U
1,006B,6,B,3,9,2,0,1,1,1,78,12,73,N,F15H,51,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,U,,9,,9,,9,,9,,99,,2,,,,,,,,,,,,,,,,,,1,N,75,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,N,39,3,2,7,U,U,U,U,U,11,0,0,6,8,43,2,0,U,U
1,006B,6,B,3,9,3,1,1,1,1,U,U,U,N,9999999999,9,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,3,0,0,N,U,U,U,8,U,U,U,U,U,17,0,0,U,U,43,2,U,U,U
1,007C,7,C,3,9,1,0,1,1,3,75,21,15,N,3B69F5,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,64,37,0,12,U,F,D,L,D,E,W,N,02,01,1,2,,,,,,,,,,,,,,,,,1,N,120,1,0,0,0,0,0,0,0,0,1,0,0,5,6,0,0,N,37,0,2,7,U,U,U,U,U,13,0,1,4,1,998,98,1,111.0,U
1,008A,8,A,3,9,1,0,2,2,2,78,1,7,N,A8A067,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,90,,L,,Y,,A,,W,,05,,1,,,,,,,,,,,,,,,,,,1,N,63,8,5,4,97,4,1,2,20,2,1,1,0,2,1,0,0,N,31,0,2,8,U,U,U,U,U,13,2,2,1,1,60,40,6,108.0,U
1,008A,8,A,3,9,2,0,1,1,2,86,12,74,N,1FBHS31H8G,40,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,12,,F,,D,,E,,W,,02,,1,,78,7,4,4,4,3,13,0,,,,,,,,,1,N,20,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,N,60,0,0,8,U,U,U,U,U,17,0,1,U,8,31,2,7,U,U
1,009D,9,D,3,9,1,1,1,1,3,82,18,10,N,1G4AJ47A5C,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,2,31,31,U,U,9,9,9,9,9,9,9,9,99,99,1,2,,,,,,,,,,,,,,,,,1,N,35,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,N,32,0,0,7,U,U,U,U,U,17,0,0,U,1,998,98,U,U,U
1,010D,10,D,3,9,1,1,3,1,U,72,20,1,N,1D37H2,2,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,31,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,6,0,0,N,34,U,U,8,U,U,U,U,U,13,0,0,U,1,998,98,U,112.0,116.0
1,011B,11,B,3,9,1,1,1,1,1,U,U,U,N,9999999999,4,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,N,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,U,,9,,9,,9,,9,,99,,1,,,,,,,,,,,,,,,,,,1,N,U,U,U,U,U,U,U,U,U,U,U,U,0,1,3,0,0,N,38,U,U,7,U,U,U,U,U,17,0,0,U,U,26,3,U,U,U
