PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GAD1,OBJCONT,CLASS2,GAD2,NATWGT,PSUWGT
1,1H,1,H,1,1,1,5,F,2,11,B,1358.47,17
1,1H,1,H,1,2,2,11,F,3,1,B,1358.47,17
1,2F,2,F,1,1,1,3,R,2,20,L,327.631,4.1
1,2F,2,F,1,2,1,3,R,2,20,L,327.631,4.1
1,2F,2,F,1,3,1,3,R,3,3,F,327.631,4.1
1,3G,3,G,1,1,1,1,F,2,5,F,879.01,11
1,4E,4,E,1,1,1,2,L,2,5,F,255.712,3.2
1,5D,5,D,1,1,1,4,F,2,5,F,98.2893,1.23
1,5D,5,D,1,2,1,4,R,2,5,L,98.2893,1.23
1,5D,5,D,1,3,2,5,F,3,5,L,98.2893,1.23
1,6D,6,D,1,1,1,1,N,31,0,N,98.2893,1.23
1,6D,6,D,1,2,1,1,T,42,0,0,98.2893,1.23
1,7G,7,G,1,1,1,20,R,2,1,F,879.01,11
1,8H,8,H,1,1,2,1,B,3,14,F,1358.47,17
1,8H,8,H,1,2,1,3,B,2,1,F,1358.47,17
1,9C,9,C,1,1,1,11,F,51,0,0,79.91,1
1,10D,10,D,1,1,1,14,F,52,0,0,98.2893,1.23
1,11F,11,F,1,1,1,5,F,51,0,0,327.631,4.1
1,12C,12,C,1,1,1,15,B,2,1,F,79.91,1
1,13D,13,D,1,1,1,3,R,56,0,0,98.2893,1.23
1,14E,14,E,1,1,1,3,F,2,15,L,255.712,3.2
1,15F,15,F,1,1,1,1,F,2,5,B,327.631,4.1
1,16G,16,G,1,1,1,2,F,2,3,B,879.01,11
1,17H,17,H,1,1,1,3,L,42,0,0,1358.47,17
1,18C,18,C,1,1,1,15,F,2,3,F,79.91,1
1,19F,19,F,1,1,1,2,R,41,0,0,327.631,4.1
1,19F,19,F,1,2,1,2,R,51,0,0,327.631,4.1
1,19F,19,F,1,3,1,2,R,51,0,0,327.631,4.1
1,19F,19,F,1,4,1,2,N,31,0,N,327.631,4.1
1,20A,20,A,1,1,1,3,F,2,1,R,99.8875,1.25
1,21E,21,E,1,1,1,2,L,2,5,F,319.64,4
1,21E,21,E,1,2,1,2,L,68,0,0,319.64,4
1,22G,22,G,1,1,1,1,F,2,1,F,1098.7625,13.75
1,23H,23,H,1,1,1,3,R,2,9,R,1698.0875,21.25
1,23H,23,H,1,2,1,3,R,2,9,R,1698.0875,21.25
1,24F,24,F,1,1,1,2,F,2,1,L,327.631,4.1
1,25C,25,C,1,1,1,3,N,31,0,N,79.91,1
1,26C,26,C,1,1,1,3,L,2,13,F,79.91,1
1,27G,27,G,1,1,1,1,L,56,0,0,879.01,11
1,27G,27,G,1,2,1,1,L,56,0,0,879.01,11
1,28G,28,G,1,1,1,15,L,68,0,0,879.01,11
1,28G,28,G,1,2,1,15,F,68,0,0,879.01,11
1,28G,28,G,1,3,1,15,F,68,0,0,879.01,11
1,28G,28,G,1,4,1,15,9,68,0,0,879.01,11
1,28G,28,G,1,5,1,15,F,51,0,0,879.01,11
1,28G,28,G,1,6,1,15,F,68,0,0,879.01,11
1,28G,28,G,1,7,1,15,F,43,0,0,879.01,11
1,28G,28,G,1,8,1,15,F,42,0,0,879.01,11
1,29H,29,H,1,1,1,5,R,52,0,0,1358.47,17
1,30C,30,C,1,1,1,2,F,2,3,F,79.91,1
1,31D,31,D,1,1,1,1,L,52,0,0,98.2893,1.23
1,32D,32,D,1,1,1,1,F,50,0,0,98.2893,1.23
1,32D,32,D,1,2,1,1,F,50,0,0,98.2893,1.23
1,32D,32,D,1,3,1,1,R,68,0,0,98.2893,1.23
1,32D,32,D,1,4,1,1,R,68,0,0,98.2893,1.23
1,32D,32,D,1,5,1,1,L,51,0,0,98.2893,1.23
1,33E,33,E,1,1,1,2,B,2,22,F,255.712,3.2
1,33E,33,E,1,2,2,22,R,52,0,0,255.712,3.2
1,34G,34,G,1,1,1,18,R,2,1,F,879.01,11
1,35B,35,B,1,1,1,5,F,64,0,0,79.91,1
1,36F,36,F,1,1,1,1,F,2,3,R,327.631,4.1
1,36F,36,F,1,2,1,1,L,2,3,R,327.631,4.1
1,36F,36,F,1,3,1,1,F,50,0,0,327.631,4.1
1,37H,37,H,1,1,1,1,B,2,9,F,1358.47,17
1,37H,37,H,1,2,3,3,B,4,4,F,1358.47,17
1,37H,37,H,1,3,2,9,B,3,3,F,1358.47,17
1,38E,38,E,1,1,1,2,N,31,0,N,255.712,3.2
1,39C,39,C,1,1,1,24,F,2,1,F,79.91,1
1,40E,40,E,1,1,1,2,F,2,5,B,255.712,3.2
1,40E,40,E,1,2,2,5,F,3,11,B,255.712,3.2
1,40E,40,E,1,3,3,11,F,4,1,B,255.712,3.2
1,41G,41,G,1,1,1,12,U,88,0,0,879.01,11
1,42D,42,D,1,1,1,3,F,2,15,R,79.91,1
1,42D,42,D,1,2,2,15,N,31,0,N,79.91,1
1,42D,42,D,1,3,2,15,U,51,0,0,79.91,1
1,43E,43,E,1,1,1,1,R,50,0,0,159.82,2
1,43E,43,E,1,2,1,1,N,31,0,N,159.82,2
1,44E,44,E,1,1,1,1,F,2,15,L,159.82,2
1,45F,45,F,1,1,1,1,R,56,0,0,327.631,4.1
1,45F,45,F,1,2,1,1,R,63,0,0,327.631,4.1
1,45F,45,F,1,3,1,1,R,56,0,0,327.631,4.1
1,45F,45,F,1,4,1,1,R,63,0,0,327.631,4.1
1,46D,46,D,1,1,1,15,N,31,0,N,79.91,1
1,47E,47,E,1,1,1,4,L,2,1,F,159.82,2
1,48G,48,G,1,1,1,1,F,2,20,B,879.01,11
1,49C,49,C,1,1,1,5,F,42,0,0,79.91,1
1,49C,49,C,1,2,1,5,L,42,0,0,79.91,1
1,49C,49,C,1,3,1,5,F,42,0,0,79.91,1
1,49C,49,C,1,4,1,5,F,41,0,0,79.91,1
1,49C,49,C,1,5,1,5,F,71,0,0,79.91,1
1,50D,50,D,1,1,1,5,F,53,0,0,79.91,1
1,51D,51,D,1,1,1,15,F,2,3,9,79.91,1
1,51D,51,D,1,2,1,15,N,31,0,N,79.91,1
1,52H,52,H,1,1,1,14,F,51,0,0,1358.47,17
1,53E,53,E,1,1,1,1,N,31,0,N,159.82,2
1,54E,54,E,1,1,1,5,F,64,0,0,159.82,2
1,55E,55,E,1,1,1,15,F,2,1,F,159.82,2
1,56G,56,G,1,1,1,9,R,56,0,0,879.01,11
1,57C,57,C,1,1,1,3,F,56,0,0,79.91,1
1,57C,57,C,1,2,1,3,B,56,0,0,79.91,1
1,58D,58,D,1,1,1,3,L,2,4,F,79.91,1
1,58D,58,D,1,2,1,3,9,68,0,0,79.91,1
1,59F,59,F,1,1,1,9,9,71,0,0,327.631,4.1
1,60E,60,E,1,1,1,1,F,56,0,0,159.82,2
1,60E,60,E,1,2,1,1,L,56,0,0,159.82,2
1,60E,60,E,1,3,1,1,B,56,0,0,159.82,2
1,61G,61,G,1,1,1,3,B,2,2,F,879.01,11
1,62C,62,C,1,1,1,13,F,60,0,0,79.91,1
1,62C,62,C,1,2,1,13,F,50,0,0,79.91,1
1,62C,62,C,1,3,1,13,T,51,0,0,79.91,1
1,62C,62,C,1,4,1,13,N,31,0,N,79.91,1
1,62C,62,C,1,5,1,13,9,68,0,0,79.91,1
1,63E,63,E,1,1,1,1,L,51,0,0,159.82,2
1,63E,63,E,1,2,1,1,L,51,0,0,159.82,2
1,63E,63,E,1,3,1,1,L,51,0,0,159.82,2
1,63E,63,E,1,4,1,1,N,31,0,N,159.82,2
1,63E,63,E,1,5,1,1,R,43,0,0,159.82,2
1,63E,63,E,1,6,1,1,R,42,0,0,159.82,2
1,64E,64,E,1,1,1,1,L,2,15,F,159.82,2
1,64E,64,E,1,2,1,1,L,2,15,R,159.82,2
1,64E,64,E,1,3,1,1,N,31,0,N,159.82,2
1,65F,65,F,1,1,1,24,N,38,0,N,327.631,4.1
1,65F,65,F,1,2,2,14,F,88,0,0,327.631,4.1
1,65F,65,F,1,3,3,1,F,88,0,0,327.631,4.1
1,66D,66,D,1,1,1,3,F,51,0,0,79.91,1
1,66D,66,D,1,2,1,3,R,50,0,0,79.91,1
1,66D,66,D,1,3,1,3,F,42,0,0,79.91,1
1,66D,66,D,1,4,1,3,R,52,0,0,79.91,1
1,67E,67,E,1,1,1,9,F,56,0,0,159.82,2
1,68F,68,F,1,1,1,1,L,51,0,0,327.631,4.1
1,68F,68,F,1,2,1,1,L,51,0,0,327.631,4.1
1,68F,68,F,1,3,1,1,L,50,0,0,327.631,4.1
1,68F,68,F,1,4,1,1,L,51,0,0,327.631,4.1
1,68F,68,F,1,5,1,1,N,31,0,N,327.631,4.1
1,68F,68,F,1,6,1,1,R,42,0,0,327.631,4.1
1,69E,69,E,1,1,1,1,F,56,0,0,159.82,2
1,69E,69,E,1,2,1,1,F,56,0,0,159.82,2
1,69E,69,E,1,3,1,1,L,56,0,0,159.82,2
1,69E,69,E,1,4,1,1,B,42,0,0,159.82,2
1,70G,70,G,1,1,1,3,F,76,0,0,879.01,11
1,71H,71,H,1,1,1,15,F,68,0,0,1358.47,17
1,72D,72,D,1,1,1,1,F,2,U,B,79.91,1
1,73E,73,E,1,1,1,4,F,2,15,F,159.82,2
1,74F,74,F,1,1,1,3,L,2,25,F,327.631,4.1
1,75D,75,D,1,1,1,3,L,2,9,F,79.91,1
1,75D,75,D,1,2,1,3,F,64,0,0,79.91,1
1,75D,75,D,1,3,1,3,F,68,0,0,79.91,1
1,75D,75,D,1,4,1,3,L,56,0,0,79.91,1
1,76E,76,E,1,1,1,1,N,31,0,N,159.82,2
1,76E,76,E,1,2,1,1,T,42,0,0,159.82,2
1,77D,77,D,1,1,1,2,F,50,0,0,79.91,1
1,77D,77,D,1,2,1,2,F,64,0,0,79.91,1
1,78G,78,G,1,1,1,4,F,2,9,R,879.01,11
1,79E,79,E,1,1,1,24,U,2,1,T,159.82,2
