PSUWGT,NATWGT,PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS
17,1358.47,1,1H,1,H,1,1,80,6,10,4,TH42GAA100,1,U,0,C,30,2,20,1,2,2,37,0,0,0,0,0,0,0,318,318,1,8,-8,0,128,1,1,13,0,0,1,0,29,13,0
17,1358.47,1,1H,1,H,1,2,86,38,470,13,JAACH15L9G,0,0,0,C,30,1,21,1,1,0,29,0,0,0,0,0,0,0,318,318,1,10,10,0,59,1,1,17,N,N,U,N,37,4,N
17,1358.47,1,1H,1,H,1,3,86,48,31,4,JF1AC42B7G,0,0,0,C,30,1,98,1,1,0,22,0,0,0,0,0,0,0,318,318,1,10,10,0,96,2,1,17,N,N,U,N,29,13,N
4.1,327.631,1,2F,2,F,1,1,82,20,15,5,1G1AX68R9C,1,U,0,C,45,1,44,1,1,1,25,0,0,0,0,0,0,0,262,261,1,10,4,-10,59,3,1,17,0,1,2,4,29,6,1
4.1,327.631,1,2F,2,F,1,2,84,84,901,50,9999999999,0,U,0,C,45,U,45,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
4.1,327.631,1,2F,2,F,1,3,87,20,17,6,1G1AW81W3H,0,U,0,C,45,U,98,1,2,0,29,0,0,0,0,0,0,0,77,203,1,9,-8,2,152,3,2,17,N,N,2,N,25,5,N
11,879.01,1,3G,3,G,1,1,87,7,17,4,1B3BS48D7H,1,U,0,C,30,7,50,1,3,3,26,0,0,0,0,0,0,0,57,250,1,14,-14,-2,148,1,1,17,0,0,2,0,43,2,0
11,879.01,1,3G,3,G,1,2,73,20,2,2,1N47R3T100,1,U,0,C,30,1,51,1,2,2,43,0,0,0,0,0,0,0,250,57,1,9,-9,2,222,3,1,13,0,0,1,0,26,4,0
3.2,255.712,1,4E,4,E,1,1,85,14,15,4,1MEBP75X3F,1,U,0,C,35,1,89,1,1,1,24,0,0,0,0,0,0,0,120,212,1,17,-11,13,181,1,2,17,0,1,2,3,34,10,1
3.2,255.712,1,4E,4,E,1,2,84,20,7,10,1GCCW80H5E,1,U,0,C,35,1,88,1,1,1,34,0,0,0,0,0,0,0,212,120,1,13,-10,-9,508,1,1,17,0,1,1,0,24,4,1
1.23,98.2893,1,5D,5,D,1,1,78,6,16,6,FH45G8G100,1,U,0,C,40,1,68,1,2,2,38,0,0,0,0,0,0,0,122,13,6,U,U,U,U,0,1,13,0,2,1,4,44,4,1
1.23,98.2893,1,5D,5,D,1,2,79,19,3,4,6069923600,1,U,0,C,40,3,69,1,1,1,44,0,0,1,0,0,0,0,13,122,6,U,U,U,U,0,2,11,0,1,1,4,38,6,2
1.23,98.2893,1,5D,5,D,1,3,77,19,U,2,9999999999,0,0,7,C,0,0,98,1,2,0,U,U,0,1,0,0,0,0,120,217,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N
1.23,98.2893,1,6D,6,D,1,1,78,12,9,2,8T10Y19800,1,U,1,D,55,3,7,1,1,1,24,0,0,1,0,1,0,0,997,997,5,U,U,U,U,0,0,11,0,1,1,3,N,N,2
11,879.01,1,7G,7,G,1,1,86,20,901,50,9999999999,0,U,0,C,30,U,87,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N
11,879.01,1,7G,7,G,1,2,85,37,33,2,JHMAB7225F,1,U,0,C,30,3,86,1,1,1,23,0,0,0,0,0,4,0,164,255,4,U,U,U,U,0,1,17,0,1,2,0,N,50,1
