PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,NATWGT,PSUWGT
1,1E,1,E,2,1,1,3,R,2,3,F,711.199,8.9
1,1E,1,E,2,2,1,3,R,2,3,L,711.199,8.9
1,2G,2,G,2,1,1,2,F,51,0,0,1997.75,25
1,3C,3,C,2,1,1,3,F,44,0,0,196.5786,2.46
1,3C,3,C,2,2,1,3,F,51,0,0,196.5786,2.46
1,4D,4,D,2,1,1,15,F,50,0,0,319.64,4
1,4D,4,D,2,2,1,15,F,50,0,0,319.64,4
1,4D,4,D,2,3,1,15,F,42,0,0,319.64,4
1,5A,5,A,2,1,1,1,F,50,0,0,99.8875,1.25
1,5A,5,A,2,2,1,1,F,50,0,0,99.8875,1.25
1,5A,5,A,2,3,1,1,F,50,0,0,99.8875,1.25
1,5A,5,A,2,4,1,1,F,42,0,0,99.8875,1.25
1,6E,6,E,2,1,1,3,F,2,5,F,271.694,3.4
1,6E,6,E,2,2,1,3,L,3,14,F,271.694,3.4
1,7D,7,D,2,1,1,3,F,51,0,0,79.91,1
1,8G,8,G,2,1,1,15,F,44,0,0,958.92,12
1,8G,8,G,2,2,1,15,T,31,0,N,958.92,12
1,9E,9,E,2,1,1,15,R,2,3,F,271.694,3.4
1,9E,9,E,2,2,1,15,F,3,2,F,271.694,3.4
1,9E,9,E,2,3,1,15,L,51,0,0,271.694,3.4
1,10H,10,H,2,1,1,5,R,2,5,F,1358.47,17
1,11E,11,E,2,1,1,9,9,51,0,0,271.694,3.4
1,12E,12,E,2,1,1,15,L,2,2,F,271.694,3.4
1,13G,13,G,2,1,1,9,B,2,18,F,958.92,12
1,14C,14,C,2,1,1,2,U,88,0,0,79.91,1
1,14C,14,C,2,2,1,2,F,60,0,0,79.91,1
1,14C,14,C,2,3,1,2,L,60,0,0,79.91,1
1,14C,14,C,2,4,1,2,F,42,0,0,79.91,1
1,15D,15,D,2,1,1,1,L,53,0,0,133.4497,1.67
1,15D,15,D,2,2,1,1,L,51,0,0,133.4497,1.67
1,16F,16,F,2,1,1,3,F,2,1,F,573.83371,7.181
1,17G,17,G,2,1,1,18,F,2,12,9,1601.3964,20.04
1,17G,17,G,2,2,2,12,9,3,5,9,1601.3964,20.04
1,18D,18,D,2,1,1,1,F,51,0,0,79.91,1
1,19D,19,D,2,1,1,1,9,50,0,0,79.91,1
1,19D,19,D,2,2,1,1,U,68,0,0,79.91,1
1,19D,19,D,2,3,1,1,F,59,0,0,79.91,1
1,20E,20,E,2,1,1,15,F,68,0,0,647.271,8.1
1,21C,21,C,2,1,1,12,R,2,2,F,127.856,1.6
1,21C,21,C,2,2,1,12,F,3,9,L,127.856,1.6
1,22E,22,E,2,1,1,15,L,2,3,F,647.271,8.1
1,22E,22,E,2,2,1,15,R,59,0,0,647.271,8.1
1,23F,23,F,2,1,1,5,F,2,4,L,863.028,10.8
1,24G,24,G,2,1,1,9,F,2,1,L,2397.3,30
1,25C,25,C,2,1,1,2,F,51,0,0,127.856,1.6
1,26E,26,E,2,1,1,2,F,2,22,9,1294.542,16.2
1,28C,28,C,2,1,1,15,F,2,2,L,127.856,1.6
1,29F,29,F,2,1,1,3,B,2,9,F,783.118,9.8
1,30D,30,D,2,1,1,4,L,2,1,F,159.82,2
1,31B,31,B,2,1,1,2,F,50,0,0,79.91,1
1,31B,31,B,2,2,1,2,F,42,0,0,79.91,1
1,31B,31,B,2,3,1,2,F,60,0,0,79.91,1
1,32E,32,E,2,1,1,9,F,2,1,L,535.397,6.7
1,32E,32,E,2,2,2,1,R,31,0,N,535.397,6.7
1,32E,32,E,2,3,2,1,T,51,0,0,535.397,6.7
1,33C,33,C,2,1,1,2,F,2,15,9,98.2893,1.23
1,34H,34,H,2,1,1,2,R,51,0,0,3036.58,38
1,34H,34,H,2,2,1,2,R,31,0,N,3036.58,38
1,36C,36,C,2,1,1,4,F,51,0,0,98.2893,1.23
1,37E,37,E,2,1,1,15,L,42,0,0,535.397,6.7
1,37E,37,E,2,2,1,15,F,51,0,0,535.397,6.7
1,38C,38,C,2,1,1,15,B,2,2,F,98.2893,1.23
1,39F,39,F,2,1,1,15,B,2,3,F,783.118,9.8
1,40E,40,E,2,1,1,13,F,2,4,L,535.397,6.7
1,41F,41,F,2,1,1,2,F,2,3,B,783.118,9.8
1,42C,42,C,2,1,1,1,L,56,0,0,98.2893,1.23
1,42C,42,C,2,2,1,1,R,31,0,N,98.2893,1.23
1,43H,43,H,2,1,1,1,F,56,0,0,3036.58,38
1,44G,44,G,2,1,1,2,F,2,9,F,2237.48,28
1,45E,45,E,2,1,1,13,F,56,0,0,535.397,6.7
1,45E,45,E,2,2,1,13,F,51,0,0,535.397,6.7
1,45E,45,E,2,3,1,13,F,56,0,0,535.397,6.7
1,46C,46,C,2,1,1,1,L,2,3,F,98.2893,1.23
1,46C,46,C,2,2,1,1,L,2,3,R,98.2893,1.23
1,47D,47,D,2,1,1,3,F,2,22,9,159.82,2
1,48F,48,F,2,1,1,13,N,35,0,N,783.118,9.8
1,48F,48,F,2,2,1,13,F,57,0,0,783.118,9.8
1,48F,48,F,2,3,1,13,F,51,0,0,783.118,9.8
1,49E,49,E,2,1,1,1,B,2,11,F,535.397,6.7
1,50C,50,C,2,1,1,13,F,2,3,F,98.2893,1.23
1,51D,51,D,2,1,1,1,L,42,0,0,159.82,2
1,51D,51,D,2,2,1,1,T,31,0,N,159.82,2
1,52G,52,G,2,1,1,2,L,42,0,0,2237.48,28
1,53E,53,E,2,1,1,1,F,2,18,9,535.397,6.7
