PSUWGT,NATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
8.9,711.199,1,,1E,1,E,2,1,80,22,1,4,2D19KAB100,1,U,0,C,45,3,64,1,1,1,31,0,0,0,0,0,0,30,278,1,22,-4,-22,435,1,1,13,0,1,1,3,32,2,2,0
8.9,711.199,1,,1E,1,E,2,2,85,20,10,2,1G1GZ37Z3F,1,U,0,C,45,4,65,1,1,1,32,0,0,0,0,0,0,278,30,1,22,-22,4,823,1,1,17,0,1,1,4,31,4,1,0
25,1997.75,1,0,2G,2,G,2,1,88,9,11,4,1P3BP46D1J,1,U,0,C,35,9,7,1,1,1,24,0,1,1,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,2,0,998,98,0,0
2.46,196.5786,1,,3C,3,C,2,1,87,20,17,6,1G1AW81R3H,1,U,0,C,35,U,7,1,1,1,28,0,1,1,0,0,0,998,998,2,17,-17,0,303,1,1,17,0,1,2,4,998,98,1,0
4,319.64,1,,4D,4,D,2,1,74,12,473,31,F25MKU8300,1,U,1,22,40,U,1,1,1,1,40,0,1,1,0,0,0,998,998,1,20,-19,3,628,1,1,11,0,1,8,4,998,98,2,2
1.25,99.8875,1,0,5A,5,A,2,1,87,55,32,5,KMHLA21JXH,1,U,0,21,35,U,1,1,1,1,22,0,0,1,0,0,0,998,998,1,30,-30,0,692,1,1,17,1,1,2,1,998,98,7,0
3.4,271.694,1,,6E,6,E,2,1,86,12,17,6,1FABP30D1G,1,U,0,C,40,7,50,1,1,1,31,0,0,0,0,0,0,335,180,1,15,-15,-3,176,1,1,17,0,1,2,4,48,2,1,0
3.4,271.694,1,,6E,6,E,2,2,71,19,3,2,683471Q100,1,U,0,C,40,7,51,1,1,1,48,0,0,0,0,0,0,180,335,1,10,-9,2,279,1,1,13,0,0,1,0,31,6,0,0
3.4,271.694,1,,6E,6,E,2,3,88,7,473,21,2B7HB23Y2J,0,U,0,C,40,U,98,1,1,0,38,0,0,0,0,0,0,344,277,1,4,-4,0,35,1,1,17,N,N,8,N,31,6,N,0
1,79.91,1,,7D,7,D,2,1,82,20,17,2,1G1AW27R5C,1,U,1,D,35,1,1,1,1,1,30,0,0,7,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0
