PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
1,1E,1,E,2,1,1,2,3,R,Y,A,W,3,2,2,3,R,B,E,W,1,101,1,14,14,14,6,0,40,,,,,,,,,0,1,1081,711.199,8.9
1,1E,1,E,2,2,1,1,12,F,D,E,W,2,2,1,9,L,P,E,W,2,64,15,18,19,18,17,19,0,48,0,4,8,5,2,0,-11,0,1,1080,711.199,8.9
1,2G,2,G,2,1,1,51,0,F,L,E,E,4,,,,,,,,,61,8,1,0,0,0,0,0,,,,,,,,,0,1,1003,1997.75,25
1,3C,3,C,2,1,2,51,12,F,Z,E,N,2,1,44,12,F,L,W,N,3,62,0,1,5,11,16,5,0,,,,,,,,,0,1,1049,196.5786,2.46
1,4D,4,D,2,1,3,42,12,F,Z,E,N,3,1,50,U,9,9,9,9,U,76,0,0,11,18,21,9,0,,,,,,,,,0,1,1550,319.64,4
1,5A,5,A,2,1,4,42,12,F,C,E,N,4,1,50,12,F,R,G,N,6,57,8,20,32,18,10,4,0,,,,,,,,,0,1,937,99.8875,1.25
1,6E,6,E,2,1,1,2,12,F,L,E,W,2,2,3,9,L,B,E,W,2,59,13,9,5,2,1,0,0,51,0,0,4,3,0,0,-72,0,1,1060,271.694,3.4
1,6E,6,E,2,2,1,1,12,F,L,E,W,2,,,,,,,,,71,28,9,2,1,0,0,0,,,,,,,,,0,1,1300,271.694,3.4
1,6E,6,E,2,3,2,1,12,F,R,E,E,1,,,,,,,,,71,0,0,0,0,0,0,0,,,,,,,,,0,0,1280,271.694,3.4
1,7D,7,D,2,1,1,51,12,F,Z,E,N,3,,,,,,,,,63,0,2,10,21,27,12,0,,,,,,,,,0,1,1049,79.91,1
