PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,COLMOVE,COLVERT,COLLAT,COLLONG,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN,NATWGT,PSUWGT
1,1E,1,E,2,1,6,1,3,1,1,0,0,0,0,0,0,2,0,6,0,0,0,8,0,0,0,U,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,10,3,3,13,4,3,2,13,27,3,3,13,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,64,0,8,0,711.199,8.9
1,1E,1,E,2,2,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,10,1,3,21,7,1,3,21,28,1,3,11,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,1,5,58,1,8,0,711.199,8.9
1,2G,2,G,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,6,0,8,0,1997.75,25
1,3C,3,C,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,47,0,8,0,196.5786,2.46
1,4D,4,D,2,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,2,2,12,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,98,0,0,0,5,5,37,1,8,0,319.64,4
1,5A,5,A,2,1,6,3,3,1,1,1,0,0,0,0,0,2,0,0,0,6,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,13,5,4,2,12,5,4,2,11,5,4,2,12,3,3,2,11,2,3,2,13,4,2,2,11,1,2,1,13,12,1,1,,,,,,,,,1,98,3,-3,-2,6,9,42,1,8,0,99.8875,1.25
1,6E,6,E,2,1,6,3,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,98,25,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,23,0,8,0,271.694,3.4
1,6E,6,E,2,2,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,1,2,11,27,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,140,1,8,0,271.694,3.4
1,7D,7,D,2,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,5,3,2,13,6,1,2,13,27,1,3,11,1,1,3,12,17,1,3,,,,,,,,,,,,,,,,,,,,,1,1,-1,-1,1,5,5,72,1,8,0,79.91,1
1,8G,8,G,2,1,6,3,1,0,0,0,0,0,0,0,0,2,6,0,8,8,0,8,8,0,U,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,15,2,1,11,14,2,1,11,6,2,1,11,13,2,1,12,15,1,1,11,12,1,1,,,,,,,,,,,,,,,,,1,98,0,0,0,0,0,65,1,8,0,958.92,12
