PSU,CASEID,CASENO,STRATIF,AOPSCASE,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,ALCDRUG,AINJSER,AINJURED,DAYWEEK,PSUWGT,NATWGT
1,1E,1,E,0,2,2,1,89,806,2,3,2,2,0,2,5,8.9,711.199
1,2G,2,G,0,2,1,1,89,1211,1,0,0,2,0,0,2,25,1997.75
1,3C,3,C,0,2,1,1,89,2216,2,4,1,2,0,1,4,2.46,196.5786
1,4D,4,D,0,2,1,1,89,25,3,4,2,1,0,1,1,4,319.64
1,5A,5,A,0,2,1,1,89,2357,4,1,7,1,1,1,1,1.25,99.8875
1,6E,6,E,0,2,3,2,89,857,2,4,1,2,0,1,6,3.4,271.694
1,7D,7,D,0,2,1,2,89,109,1,4,1,1,0,1,7,1,79.91
1,8G,8,G,0,2,1,2,89,750,2,0,0,2,0,0,6,12,958.92
1,9E,9,E,0,2,3,2,89,1243,3,4,1,1,0,2,5,3.4,271.694
1,10H,10,H,0,2,2,2,89,1554,1,0,0,2,0,0,5,17,1358.47
1,11E,11,E,0,2,1,2,89,832,1,4,1,2,0,3,5,3.4,271.694
1,12E,12,E,0,2,2,2,89,705,1,4,1,2,0,2,6,3.4,271.694
1,13G,13,G,0,2,2,2,89,1303,1,0,0,2,0,0,1,12,958.92
1,14C,14,C,0,2,1,2,89,1947,4,3,2,2,0,3,3,1,79.91
1,15D,15,D,0,2,1,2,89,1903,2,4,1,2,0,1,1,1.67,133.4497
1,16F,16,F,0,2,2,2,89,1959,1,3,3,2,1,2,3,7.181,573.83371
1,17G,17,G,0,2,3,2,89,1945,2,U,7,2,0,1,1,20.04,1601.3964
1,18D,18,D,0,2,1,2,89,436,1,3,3,1,1,2,7,1,79.91
1,19D,19,D,0,2,1,2,89,1751,3,3,3,1,1,2,7,1,79.91
1,20E,20,E,0,2,1,2,89,2130,1,4,1,2,0,1,2,8.1,647.271
1,21C,21,C,0,2,3,3,89,2206,2,3,2,2,0,3,7,1.6,127.856
1,22E,22,E,0,2,2,3,89,1904,2,4,1,1,0,4,1,8.1,647.271
1,23F,23,F,0,2,2,3,89,1928,1,4,1,2,0,1,2,10.8,863.028
1,24G,24,G,0,2,2,3,89,1538,1,0,0,2,0,0,5,30,2397.3
1,25C,25,C,0,2,1,4,89,101,1,4,2,1,0,1,6,1.6,127.856
1,26E,26,E,0,2,2,4,89,821,1,3,2,2,0,1,4,16.2,1294.542
1,28C,28,C,0,2,2,5,89,840,1,4,1,2,0,1,3,1.6,127.856
1,29F,29,F,0,2,2,5,89,1510,1,4,1,2,0,3,6,9.8,783.118
1,30D,30,D,0,2,2,5,89,1340,1,3,4,2,2,5,1,2,159.82
1,31B,31,B,0,2,1,5,89,710,3,1,4,1,2,2,1,1,79.91
1,32E,32,E,0,2,2,6,89,1815,3,4,1,2,0,1,5,6.7,535.397
1,33C,33,C,0,2,2,6,89,1629,1,3,3,2,1,3,6,1.23,98.2893
1,34H,34,H,0,2,1,6,89,2114,2,0,0,1,0,0,2,38,3036.58
1,36C,36,C,0,2,1,6,89,1635,1,4,2,2,0,3,4,1.23,98.2893
1,37E,37,E,0,2,1,6,89,1827,2,4,1,2,0,1,5,6.7,535.397
1,38C,38,C,0,2,2,6,89,2145,1,0,2,1,0,1,5,1.23,98.2893
1,39F,39,F,0,2,2,6,89,730,1,4,1,2,0,1,3,9.8,783.118
1,40E,40,E,0,2,2,7,89,2059,1,6,1,2,0,1,6,6.7,535.397
1,41F,41,F,0,2,2,7,89,1555,1,4,2,2,0,2,2,9.8,783.118
1,42C,42,C,0,2,1,7,89,2349,2,4,1,1,0,1,7,1.23,98.2893
1,43H,43,H,0,2,1,6,89,1915,1,6,1,2,0,1,2,38,3036.58
1,44G,44,G,0,2,2,8,89,1825,1,0,0,2,0,0,5,28,2237.48
1,45E,45,E,0,2,1,8,89,24,3,4,1,2,0,1,3,6.7,535.397
1,46C,46,C,0,2,2,8,89,900,2,1,6,2,1,5,6,1.23,98.2893
1,47D,47,D,0,2,2,8,89,1615,1,4,2,2,0,3,6,2,159.82
1,48F,48,F,0,2,1,8,89,1847,3,3,1,2,0,1,5,9.8,783.118
1,49E,49,E,0,2,2,8,89,2033,1,4,2,1,0,2,6,6.7,535.397
1,50C,50,C,0,2,2,9,89,1801,1,3,3,2,2,4,1,1.23,98.2893
1,51D,51,D,0,2,1,9,89,1558,2,3,3,2,1,1,2,2,159.82
1,52G,52,G,0,2,1,9,89,1145,1,0,0,2,0,0,7,28,2237.48
1,53E,53,E,0,2,2,9,89,1015,1,4,1,2,0,1,6,6.7,535.397
1,54H,54,H,0,2,2,9,89,U,1,U,0,2,0,0,5,38,3036.58
1,55C,55,C,0,2,1,9,89,2358,4,4,2,1,0,1,7,1.23,98.2893
1,56F,56,F,0,2,3,10,89,1504,2,4,1,2,0,2,2,14.7,1174.677
1,57G,57,G,0,2,2,9,89,1035,2,0,0,2,0,0,6,42,3356.22
1,58C,58,C,0,2,2,10,89,1827,1,3,3,2,1,2,2,1.23,98.2893
1,59B,59,B,0,2,1,10,89,1949,2,1,4,2,1,2,4,1,79.91
1,60A,60,A,0,2,3,10,89,1745,5,1,4,1,1,2,4,1,79.91
1,61C,61,C,0,2,2,10,89,128,3,4,1,2,0,2,4,1,79.91
1,62E,62,E,0,2,2,10,89,1233,2,4,1,2,0,1,3,4.5,359.595
1,63G,63,G,0,2,2,10,89,1229,1,4,0,2,0,0,7,18,1438.38
1,64E,64,E,0,2,2,10,89,1305,1,4,1,2,0,1,7,3,239.73
1,65F,65,F,0,2,2,10,89,2306,3,4,1,2,0,2,7,4.3,343.613
1,66H,66,H,0,2,2,10,89,915,1,0,0,2,0,0,3,17,1358.47
1,67D,67,D,0,2,2,10,89,1617,1,4,2,2,0,2,5,1,79.91
1,68D,68,D,0,2,1,10,89,230,3,4,1,2,0,1,7,1,79.91
1,69D,69,D,0,2,1,10,89,2233,2,3,3,1,1,5,5,1,79.91
1,70E,70,E,0,2,2,10,89,845,1,3,1,2,0,2,7,3,239.73
