PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,NATWGT,PSUWGT,RATWGT
1,1D,1,D,3,1,1,5,F,68,0,0,239.73,3.000,383.21164661
1,1D,1,D,3,2,1,5,F,42,0,0,239.73,3.000,383.21164661
1,2E,2,E,3,1,1,9,F,2,9,R,319.64,4.000,425.61014518
1,3F,3,F,3,1,1,1,F,51,0,0,319.64,4.000,387.22751496
1,4G,4,G,3,1,1,9,F,2,9,R,958.92,12.000,1315.6653571
1,5B,5,B,3,1,1,5,F,64,0,0,399.55,5.000,437.11537062
1,7C,7,C,3,1,1,15,B,2,24,F,199.775,2.500,272.42370801
1,7C,7,C,3,2,1,15,R,56,0,0,199.775,2.500,272.42370801
1,8F,8,F,3,1,1,1,F,2,9,R,799.1,10.000,968.0687874
1,9E,9,E,3,1,1,4,F,2,13,F,479.46,6.000,638.41521776
1,10G,10,G,3,1,1,9,F,2,1,R,1917.84,24.000,2631.3307141
1,11H,11,H,3,1,1,9,R,68,0,0,1917.84,24.000,2687.7952919
1,13H,13,H,3,1,1,1,R,2,18,F,1917.84,24.000,2687.7952919
1,13H,13,H,3,2,1,1,L,3,9,F,1917.84,24.000,2687.7952919
1,14F,14,F,3,1,1,13,F,2,2,F,479.46,6.000,580.84127244
1,15G,15,G,3,1,1,1,F,56,0,0,1438.38,18.000,1973.4980356
1,16H,16,H,3,1,1,3,L,2,3,F,639.28,8.000,895.93176396
1,17G,17,G,3,1,1,1,B,56,0,0,1917.84,24.000,2631.3307141
1,18G,18,G,3,1,1,9,L,54,0,0,1438.38,18.000,1973.4980356
1,19E,19,E,3,1,1,2,L,42,0,0,639.28,8.000,851.22029036
1,20E,20,E,3,1,1,2,F,2,1,F,479.46,6.000,638.41521776
1,21H,21,H,3,1,1,1,F,51,0,0,1917.84,24.000,2687.7952919
1,22E,22,E,3,1,1,2,B,2,12,F,159.82,2.000,212.80507259
1,23G,23,G,3,1,1,9,B,42,0,0,1438.38,18.000,1973.4980356
1,24F,24,F,3,1,1,11,F,42,0,0,159.82,2.000,193.61375748
1,25E,25,E,3,1,1,22,F,2,15,R,159.82,2.000,212.80507259
1,25E,25,E,3,2,2,15,F,57,0,0,159.82,2.000,212.80507259
1,26G,26,G,3,1,1,9,R,2,4,F,1438.38,18.000,1973.4980356
1,27H,27,H,3,1,1,4,F,56,0,0,1278.56,16.000,1791.8635279
1,27H,27,H,3,2,1,4,F,51,0,0,1278.56,16.000,1791.8635279
1,27H,27,H,3,3,1,4,R,51,0,0,1278.56,16.000,1791.8635279
1,27H,27,H,3,4,1,4,F,44,0,0,1278.56,16.000,1791.8635279
1,28E,28,E,3,1,1,5,F,44,0,0,159.82,2.000,212.80507259
1,28E,28,E,3,2,1,5,F,42,0,0,159.82,2.000,212.80507259
1,29F,29,F,3,1,1,2,F,51,0,0,159.82,2.000,193.61375748
1,30G,30,G,3,1,1,1,R,2,1,F,1438.38,18.000,1973.4980356
1,31H,31,H,3,1,1,15,F,2,2,B,1278.56,16.000,1791.8635279
1,31H,31,H,3,2,2,2,F,3,1,B,1278.56,16.000,1791.8635279
1,32E,32,E,3,1,1,1,L,2,5,F,159.82,2.000,212.80507259
1,33F,33,F,3,1,1,3,F,63,0,0,319.64,4.000,387.22751496
1,33F,33,F,3,2,1,3,T,31,0,N,319.64,4.000,387.22751496
1,34E,34,E,3,1,1,1,F,2,3,B,319.64,4.000,425.61014518
1,35G,35,G,3,1,1,2,L,60,0,0,479.46,6.000,657.83267853
1,35G,35,G,3,2,1,2,F,56,0,0,479.46,6.000,657.83267853
1,36C,36,C,3,1,1,12,U,61,0,0,199.775,2.500,272.42370801
1,36C,36,C,3,2,1,12,F,42,0,0,199.775,2.500,272.42370801
1,36C,36,C,3,3,1,12,U,71,0,0,199.775,2.500,272.42370801
1,37F,37,F,3,1,1,15,F,2,3,B,479.46,6.000,580.84127244
1,38F,38,F,3,1,1,3,F,2,1,F,319.64,4.000,387.22751496
1,39F,39,F,3,1,1,2,F,2,1,B,479.46,6.000,580.84127244
1,40F,40,F,3,1,1,1,B,2,1,F,479.46,6.000,580.84127244
1,41E,41,E,3,1,2,4,B,3,1,F,799.1,10.000,1064.0253629
1,41E,41,E,3,2,1,5,B,2,4,F,799.1,10.000,1064.0253629
1,42G,42,G,3,1,1,2,F,2,5,B,479.46,6.000,657.83267853
1,43H,43,H,3,1,1,3,F,60,0,0,1917.84,24.000,2687.7952919
1,43H,43,H,3,2,1,3,F,60,0,0,1917.84,24.000,2687.7952919
1,44E,44,E,3,1,1,2,F,2,2,L,479.46,6.000,638.41521776
1,45F,45,F,3,1,1,5,F,2,24,R,159.82,2.000,193.61375748
1,46F,46,F,3,1,1,2,L,2,2,F,159.82,2.000,193.61375748
1,46F,46,F,3,2,1,2,L,2,2,R,159.82,2.000,193.61375748
1,47F,47,F,3,1,1,1,F,71,0,0,639.28,8.000,774.45502992
1,48G,48,G,3,1,1,1,F,2,13,B,1438.38,18.000,1973.4980356
1,49H,49,H,3,1,1,3,B,56,0,0,1917.84,24.000,2687.7952919
1,49H,49,H,3,2,1,3,U,56,0,0,1917.84,24.000,2687.7952919
1,49H,49,H,3,3,1,3,U,56,0,0,1917.84,24.000,2687.7952919
1,49H,49,H,3,4,1,3,U,56,0,0,1917.84,24.000,2687.7952919
1,50F,50,F,3,1,1,2,F,2,18,B,339.6175,4.250,411.42923464
1,51H,51,H,3,1,1,2,F,42,0,0,1358.47,17.000,1903.8549984
1,52C,52,C,3,1,1,13,F,50,0,0,79.91,1.000,108.9694832
1,52C,52,C,3,2,1,13,R,56,0,0,79.91,1.000,108.9694832
1,52C,52,C,3,3,1,13,R,31,0,N,79.91,1.000,108.9694832
1,53E,53,E,3,1,1,9,B,2,3,F,296.80857143,3.714,395.20942052
1,54C,54,C,3,1,1,2,F,50,0,0,79.91,1.000,108.9694832
1,54C,54,C,3,2,1,2,F,51,0,0,79.91,1.000,108.9694832
1,54C,54,C,3,3,1,2,L,42,0,0,79.91,1.000,108.9694832
1,55G,55,G,3,1,1,4,F,2,1,F,1438.38,18.000,1973.4980356
1,55G,55,G,3,2,1,4,F,2,1,L,1438.38,18.000,1973.4980356
1,55G,55,G,3,3,2,1,F,50,0,0,1438.38,18.000,1973.4980356
1,56D,56,D,3,1,1,1,U,61,0,0,161.15183333,2.017,257.60338467
1,56D,56,D,3,2,1,1,F,60,0,0,161.15183333,2.017,257.60338467
1,56D,56,D,3,3,1,1,U,60,0,0,161.15183333,2.017,257.60338467
1,56D,56,D,3,4,1,1,L,31,0,N,161.15183333,2.017,257.60338467
1,56D,56,D,3,5,1,1,9,50,0,0,161.15183333,2.017,257.60338467
1,56D,56,D,3,6,1,1,T,42,0,0,161.15183333,2.017,257.60338467
1,57H,57,H,3,1,1,2,F,43,0,0,4834.5549999,60.500,6775.4839649
1,57H,57,H,3,2,1,2,F,59,0,0,4834.5549999,60.500,6775.4839649
1,57H,57,H,3,3,1,2,F,71,0,0,4834.5549999,60.500,6775.4839649
1,58C,58,C,3,1,1,12,F,2,2,R,105.65877778,1.322,144.08187223
1,58C,58,C,3,2,1,12,R,31,0,N,105.65877778,1.322,144.08187223
1,59E,59,E,3,1,2,15,F,63,0,0,679.235,8.500,904.4215585
1,59E,59,E,3,2,1,3,R,2,15,F,679.235,8.500,904.4215585
1,59E,59,E,3,3,2,15,F,51,0,0,679.235,8.500,904.4215585
1,59E,59,E,3,4,2,15,L,31,0,N,679.235,8.500,904.4215585
1,60D,60,D,3,1,1,1,F,60,0,0,79.91,1.000,127.73721554
1,60D,60,D,3,2,1,1,U,61,0,0,79.91,1.000,127.73721554
1,60D,60,D,3,3,1,1,F,60,0,0,79.91,1.000,127.73721554
1,60D,60,D,3,4,1,1,L,31,0,N,79.91,1.000,127.73721554
1,61H,61,H,3,1,1,9,F,60,0,0,1678.11,21.000,2351.8208804
1,62E,62,E,3,1,1,3,F,63,0,0,353.88714286,4.429,471.21123216
1,62E,62,E,3,2,1,3,F,50,0,0,353.88714286,4.429,471.21123216
1,62E,62,E,3,3,1,3,F,53,0,0,353.88714286,4.429,471.21123216
1,63F,63,F,3,1,1,2,F,2,5,F,619.3025,7.750,750.25331023
1,64C,64,C,3,1,1,2,F,2,3,B,79.91,1.000,108.9694832
