PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
3.000,239.73,383.21164661,1,0,1D,1,D,3,1,83,22,2,4,2G7AL69H1D,1,U,0,C,45,1,6,1,1,1,37,0,1,1,0,0,0,998,998,5,U,U,U,U,0,1,17,1,1,1,3,998,98,3,0
4.000,319.64,425.61014518,1,0,2E,2,E,3,1,87,12,U,9,9999999999,1,U,0,C,45,4,69,1,2,2,U,0,0,0,0,0,0,184,324,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,0
4.000,319.64,425.61014518,1,0,2E,2,E,3,2,88,18,U,9,9999999999,1,U,0,C,45,U,68,1,1,1,U,0,0,0,0,0,0,324,184,6,U,U,U,U,0,0,U,0,1,U,4,N,N,1,U
4.000,319.64,387.22751496,1,0,3F,3,F,3,1,83,46,U,9,9999999999,1,U,0,C,45,U,7,1,1,1,U,0,0,1,0,0,0,998,998,5,U,U,U,U,0,0,U,0,1,U,4,N,N,1,U
12.000,958.92,1315.6653571,1,0,4G,4,G,3,1,90,20,U,4,9999999999,1,U,0,C,35,U,69,1,4,4,U,0,0,0,0,0,0,284,71,6,U,U,U,U,0,0,U,0,1,U,0,N,N,7,U
12.000,958.92,1315.6653571,1,0,4G,4,G,3,2,88,6,U,4,9999999999,0,U,0,C,35,U,68,1,1,0,U,0,0,0,0,0,0,71,284,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
5.000,399.55,437.11537062,1,0,5B,5,B,3,1,77,20,2,4,1LG9L71100,1,75,1,14,55,U,7,1,4,4,38,0,0,0,0,0,0,998,998,6,U,U,U,U,0,2,13,3,4,1,1,998,98,6,U
2.500,199.775,272.42370801,1,0,7C,7,C,3,1,87,35,477,30,1N6ND11S1H,1,U,0,C,55,U,32,1,2,2,27,0,0,0,0,0,0,64,73,4,U,U,U,U,0,1,17,0,2,8,4,N,65,2,U
2.500,199.775,272.42370801,1,0,7C,7,C,3,2,87,85,898,65,9999999999,1,U,0,C,55,U,32,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
10.000,799.1,968.0687874,1,0,8F,8,F,3,1,88,14,36,3,3MABM1155J,1,U,0,C,30,1,83,1,1,1,22,0,0,0,0,0,0,110,346,6,U,U,U,U,0,1,17,0,1,2,6,U,9,1,0
10.000,799.1,968.0687874,1,0,8F,8,F,3,2,79,14,U,9,9999999999,1,U,0,C,30,1,82,1,2,2,U,0,0,0,0,0,0,346,110,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,0
6.000,479.46,638.41521776,1,0,9E,9,E,3,1,88,14,6,4,2MEBM74F7J,1,U,0,C,45,U,84,1,1,1,38,0,0,0,0,0,0,247,2,6,U,U,U,U,0,1,17,0,0,1,0,U,21,0,U
6.000,479.46,638.41521776,1,0,9E,9,E,3,2,88,9,474,21,9999999999,1,U,0,C,40,3,84,1,1,1,U,0,0,0,0,0,0,2,247,6,U,U,U,U,0,2,U,0,1,8,4,38,4,1,0
24.000,1917.84,2631.3307141,1,0,10G,10,G,3,1,82,12,U,6,9999999999,1,U,0,C,35,4,86,1,1,1,U,0,0,0,0,0,0,121,238,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,0
24.000,1917.84,2631.3307141,1,0,10G,10,G,3,2,89,35,43,2,JN1GB22S6K,1,U,0,C,30,9,87,1,2,2,22,0,0,0,0,0,0,238,121,6,U,U,U,U,0,1,17,0,0,2,0,U,6,0,0
24.000,1917.84,2687.7952919,1,0,11H,11,H,3,1,83,37,U,9,9999999999,1,U,0,C,30,U,7,1,1,1,U,0,0,0,0,0,0,998,998,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,U
24.000,1917.84,2687.7952919,1,1,13H,13,H,3,1,80,30,36,3,17A0924500,1,U,0,C,40,6,87,1,2,2,22,0,0,0,0,0,0,206,103,6,U,U,U,U,0,1,10,0,0,2,0,U,9,0,0
24.000,1917.84,2687.7952919,1,0,13H,13,H,3,2,87,12,U,39,9999999999,0,U,0,C,30,U,86,1,2,0,U,0,0,0,0,0,0,103,206,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,U
24.000,1917.84,2687.7952919,1,0,13H,13,H,3,3,90,18,U,9,9999999999,1,U,0,C,40,U,98,1,1,1,U,0,0,0,0,0,0,31,290,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,U
6.000,479.46,580.84127244,1,0,14F,14,F,3,1,87,12,474,21,1FMEE11N9H,1,U,0,C,35,4,51,1,1,1,45,0,0,0,0,0,0,252,60,1,11,-11,2,110,1,2,17,0,0,8,0,24,3,0,0
6.000,479.46,580.84127244,1,0,14F,14,F,3,2,82,22,16,3,1G2AB7706C,1,U,0,C,35,9,50,1,3,3,24,0,0,0,0,0,0,60,252,1,18,-18,-3,414,1,1,17,0,3,2,3,45,21,2,0
18.000,1438.38,1973.4980356,1,0,15G,15,G,3,1,86,37,31,6,JHMAN5521G,1,U,0,C,55,3,2,1,1,1,19,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,U,0,998,98,0,0
8.000,639.28,895.93176396,1,0,16H,16,H,3,1,84,22,15,2,1G2AY37X0E,1,U,0,C,35,U,65,1,1,1,25,0,0,0,0,0,0,248,26,5,U,U,U,U,0,1,17,0,0,2,0,25,2,0,U
8.000,639.28,895.93176396,1,0,16H,16,H,3,2,83,22,15,2,1G2AY37R0D,0,U,0,C,35,U,64,1,2,0,25,0,0,0,0,0,0,26,248,5,U,U,U,U,0,2,17,N,N,2,N,25,2,N,U
24.000,1917.84,2631.3307141,1,0,17G,17,G,3,1,87,9,8,5,1P3BM18C3H,1,U,0,C,55,U,4,1,1,1,22,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,2,0,998,98,0,U
18.000,1438.38,1973.4980356,1,0,18G,18,G,3,1,87,37,U,4,9999999999,1,U,0,C,55,6,2,1,3,3,U,0,0,0,0,0,0,998,998,6,U,U,U,U,0,0,U,0,1,U,0,N,N,1,0
8.000,639.28,851.22029036,1,0,19E,19,E,3,1,86,22,18,2,1G2NV27LXG,1,U,0,C,55,6,2,1,1,1,25,0,0,1,0,0,0,998,998,1,19,15,12,348,3,1,17,0,1,2,4,998,98,2,0
6.000,479.46,638.41521776,1,0,20E,20,E,3,1,87,37,32,4,1HGCA5632H,1,U,0,C,35,6,52,1,1,1,27,0,0,0,0,4,0,264,137,5,U,U,U,U,0,1,17,0,1,2,4,20,5,1,0
6.000,479.46,638.41521776,1,0,20E,20,E,3,2,82,20,13,5,1G1AJ68C1C,1,0,0,C,30,1,52,1,1,1,20,0,0,0,0,1,0,137,264,5,U,U,U,U,0,1,17,0,1,1,4,27,4,1,0
24.000,1917.84,2687.7952919,1,0,21H,21,H,3,1,81,9,34,5,JP3BE4432B,1,U,0,C,40,U,4,1,U,1,20,0,0,1,0,0,0,998,998,6,U,U,U,U,0,2,17,0,0,2,0,998,98,0,U
2.000,159.82,212.80507259,1,0,22E,22,E,3,1,87,6,16,4,1C3BC56K2H,1,U,0,C,30,1,25,1,1,1,26,0,0,0,0,0,4,0,5,5,U,U,U,U,0,1,17,0,1,2,4,44,14,1,0
2.000,159.82,212.80507259,1,0,22E,22,E,3,2,75,23,471,14,TKY185F500,0,U,0,C,30,U,24,1,1,0,44,0,0,0,0,1,0,5,0,5,U,U,U,U,0,2,13,N,N,8,N,26,4,N,U
18.000,1438.38,1973.4980356,1,0,23G,23,G,3,1,88,20,U,4,9999999999,1,U,0,C,55,U,2,1,1,1,U,0,0,1,0,0,0,998,998,6,U,U,U,U,0,0,U,0,0,U,0,N,N,0,U
2.000,159.82,193.61375748,1,0,24F,24,F,3,1,85,2,402,13,1JCUF87A8F,1,U,0,C,30,1,9,1,1,1,26,0,0,1,0,0,0,998,998,1,24,-24,-2,588,1,1,17,0,1,U,4,998,98,1,0
2.000,159.82,212.80507259,1,0,25E,25,E,3,1,81,84,U,68,9999999999,0,U,0,C,30,U,86,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
2.000,159.82,212.80507259,1,0,25E,25,E,3,2,87,35,477,30,1N6ND16S4H,1,U,0,C,35,6,87,1,2,2,28,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,0
18.000,1438.38,1973.4980356,1,0,26G,26,G,3,1,70,19,U,4,9999999999,0,U,0,C,45,U,68,1,1,0,U,0,0,0,0,0,0,197,120,6,U,U,U,U,0,0,U,N,N,U,N,N,N,N,U
18.000,1438.38,1973.4980356,1,0,26G,26,G,3,2,88,6,10,4,1C3BF66P9J,1,U,0,C,45,4,69,1,1,1,38,0,0,0,0,0,0,120,197,6,U,U,U,U,0,1,17,0,1,1,6,U,4,1,0
16.000,1278.56,1791.8635279,1,0,27H,27,H,3,1,77,12,11,4,7E81L26400,1,U,0,C,40,U,4,1,1,1,33,0,1,2,0,0,0,998,998,5,U,U,U,U,0,1,11,0,0,1,0,998,98,0,U
2.000,159.82,212.80507259,1,0,28E,28,E,3,1,87,19,3,4,1G6DW51Y2H,1,U,0,C,35,9,7,1,1,1,40,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,3,998,98,2,0
2.000,159.82,193.61375748,1,0,29F,29,F,3,1,83,9,13,10,1P7EM44CXD,1,U,1,C,35,U,1,1,1,1,23,0,0,1,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,U
18.000,1438.38,1973.4980356,1,0,30G,30,G,3,1,87,49,32,4,JT2AE82E0H,1,U,0,C,30,1,87,1,1,1,21,0,0,0,0,0,0,77,354,6,U,U,U,U,0,1,17,0,0,2,0,U,2,0,0
18.000,1438.38,1973.4980356,1,0,30G,30,G,3,2,88,35,U,2,9999999999,1,U,0,C,30,2,86,1,2,2,U,0,0,0,0,0,0,354,77,6,U,U,U,U,0,2,U,0,0,U,0,21,4,0,0
16.000,1278.56,1791.8635279,1,0,31H,31,H,3,1,84,20,U,31,9999999999,1,U,0,C,35,3,98,1,1,1,U,0,0,0,0,U,0,327,326,6,U,U,U,U,0,0,U,0,0,8,0,N,N,0,U
16.000,1278.56,1791.8635279,1,0,31H,31,H,3,2,86,12,3,2,1FABP26A2G,0,0,0,C,35,1,98,1,1,0,27,0,0,0,0,0,U,326,326,6,U,U,U,U,0,2,17,N,N,1,N,20,4,N,0
16.000,1278.56,1791.8635279,1,0,31H,31,H,3,3,85,46,39,4,1XMDM9537F,0,0,0,C,35,1,98,1,2,0,20,0,0,0,0,0,0,326,326,6,U,U,U,U,0,1,17,N,N,2,N,27,2,N,0
2.000,159.82,212.80507259,1,1,32E,32,E,3,1,90,9,17,4,1P3XP48D5L,1,U,0,C,35,U,82,1,1,1,25,0,1,0,0,0,0,125,223,1,18,-6,17,221,1,1,17,0,0,2,4,45,4,0,0
