PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT,RATWGT
1,1D,1,D,3,1,2,42,12,F,R,E,N,4,,,,,,,,,54,0,10,18,30,42,47,21,,,,,,,,,0,1,1159,239.73,3.000,383.21164661
1,5B,5,B,3,1,1,64,12,F,Y,E,W,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1160,399.55,5.000,437.11537062
1,7C,7,C,3,1,1,2,27,B,D,E,W,6,2,56,1,R,D,M,W,3,60,54,54,52,48,43,36,10,96,0,2,1,4,7,12,28,0,1,1014,199.775,2.500,272.42370801
1,8F,8,F,3,1,1,2,1,F,Z,E,W,1,,,,,,,,,54,0,2,5,7,7,4,10,,,,,,,,,0,1,947,799.1,10.000,968.0687874
1,9E,9,E,3,1,1,2,12,F,L,E,W,1,,,,,,,,,70,5,4,2,2,2,2,-24,,,,,,,,,0,1,1143,479.46,6.000,638.41521776
1,9E,9,E,3,2,1,1,U,9,9,9,9,U,,,,,,,,,71,99,99,99,99,99,99,1,,,,,,,,,0,1,995,479.46,6.000,638.41521776
1,10G,10,G,3,2,1,1,2,R,Z,E,W,2,,,,,,,,,98,1,3,4,6,3,1,-7,,,,,,,,,0,1,957,1917.84,24.000,2631.3307141
1,13H,13,H,3,1,2,3,9,L,B,E,N,3,1,2,1,R,Z,A,S,3,54,7,8,1,1,1,1,-44,119,2,5,9,6,2,0,-6,0,1,944,1917.84,24.000,2687.7952919
1,14F,14,F,3,1,1,2,12,F,Y,E,W,1,,,,,,,,,74,3,2,3,3,2,0,-16,,,,,,,,,0,1,1380,479.46,6.000,580.84127244
1,14F,14,F,3,2,1,1,12,F,D,E,W,2,,,,,,,,,58,7,14,15,14,6,0,-3,,,,,,,,,0,1,1012,479.46,6.000,580.84127244
1,15G,15,G,3,1,1,56,11,F,D,E,W,1,,,,,,,,,60,1,0,1,1,1,2,0,,,,,,,,,0,1,965,1438.38,18.000,1973.4980356
1,16H,16,H,3,1,1,2,12,L,D,E,S,1,,,,,,,,,162,1,2,3,0,0,2,0,,,,,,,,,0,1,1049,639.28,8.000,895.93176396
1,16H,16,H,3,2,1,1,12,F,D,E,W,1,,,,,,,,,62,3,3,2,2,2,2,0,,,,,,,,,0,0,1049,639.28,8.000,895.93176396
1,17G,17,G,3,1,1,56,7,B,D,E,W,2,,,,,,,,,58,6,4,3,2,1,1,-14,,,,,,,,,0,1,991,1917.84,24.000,2631.3307141
1,19E,19,E,3,1,1,42,7,L,B,A,N,3,,,,,,,,,44,0,9,17,12,6,0,-53,,,,,,,,,0,1,1034,639.28,8.000,851.22029036
1,20E,20,E,3,1,1,2,1,F,D,E,W,1,,,,,,,,,60,0,0,1,7,3,2,-5,,,,,,,,,0,1,1024,479.46,6.000,638.41521776
