PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,OBSTEST,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH
1.502,36.823591111,71.747977316,2,0,2D,2,D,4,1,85,20,477,30,1GCCT14B4F,1,U,0,C,45,1,51,1,1,1,29,0,0,0,0,0,0,0,0,150,1,27,-25,9,707,1,1,17,0,1,8,4,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.502,36.823591111,71.747977316,2,0,2D,2,D,4,2,80,49,33,2,RA42338700,1,U,0,C,45,1,50,1,1,1,25,2,0,0,0,0,0,0,150,0,1,29,-28,8,952,1,1,10,0,1,1,4,29,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.502,36.823591111,71.747977316,2,0,3D,3,D,4,1,81,9,11,4,1P3BK46BXB,1,U,0,C,30,98,7,1,5,5,23,0,0,0,0,0,0,0,998,998,6,U,U,U,U,0,1,17,0,5,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.263,276.17693333,456.45524383,2,0,4F,4,F,4,1,85,49,32,2,JT2AE88S3F,1,U,0,C,55,U,20,1,1,1,22,0,0,0,0,0,1,0,0,0,5,U,U,U,U,0,1,17,0,1,1,4,U,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.263,276.17693333,456.45524383,2,0,4F,4,F,4,2,85,51,U,4,9999999999,1,0,0,C,55,1,22,1,2,2,U,U,0,0,0,0,0,U,0,0,5,U,U,U,U,0,0,U,0,2,U,0,N,N,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.007,49.206385714,75.411106786,2,0,5E,5,E,4,1,87,12,17,4,1FABP53U1H,1,U,0,C,55,1,2,1,1,1,29,0,0,0,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.024,172.22235,218.20125486,2,0,6G,6,G,4,1,89,49,477,30,JT4VN13GXK,1,U,0,C,45,U,2,1,1,1,27,U,0,0,7,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,8,0,998,98,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.024,172.22235,218.20125486,2,0,7G,7,G,4,1,89,20,472,20,1GNDM15Z2K,1,U,0,C,30,1,88,1,1,1,36,0,0,0,0,0,0,0,270,180,3,5,-5,0,54,1,1,17,0,0,8,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.024,172.22235,218.20125486,2,0,7G,7,G,4,2,88,47,34,4,YS3CS58D4J,0,U,0,C,30,2,89,1,1,0,30,0,0,0,0,0,0,0,180,270,3,6,0,6,53,1,2,17,N,N,2,N,36,20,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.047,344.4447,438.69213786,2,0,8H,8,H,4,1,86,47,31,4,YS3AC46D2G,1,U,1,17,55,1,7,1,1,1,26,0,0,0,1,0,0,0,998,998,6,U,U,U,U,0,1,17,0,0,2,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.340,57.3768,111.79434761,2,0,9D,9,D,4,1,85,12,471,14,9999999999,1,U,0,C,55,6,7,1,2,2,45,U,0,0,0,3,0,0,997,997,5,U,U,U,U,0,0,U,0,2,8,4,N,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.580,161.32992381,247.24571691,2,0,10E,10,E,4,1,88,12,33,3,KNJBT07K3J,1,U,0,C,55,98,7,1,3,3,17,0,0,0,0,3,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
