PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTANK,PSUSTRAT
2,1,92.945293797,1C,C,5,1,2,44,12,F,D,L,W,1,1,63,12,F,L,W,N,3,56,4,2,1,2,1,2,0,,,,,,,,,1,1,984,0,0,0,1,3
2,2,149.59352682,2E,E,5,1,3,31,0,T,D,D,O,3,2,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,965,0,0,0,1,3
2,3,324.71188789,3G,G,5,1,2,31,0,R,D,A,O,2,1,50,3,R,P,E,N,2,,,,,,,,,,,,,,,,,0,1,1014,0,0,0,1,3
2,4,659.35172287,4H,H,5,1,1,44,U,9,9,9,9,U,2,60,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1160,0,0,0,1,3
2,5,33.216248929,5D,D,5,1,1,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1315,0,0,0,1,3
2,7,169.48819388,7G,G,5,1,2,31,0,R,D,A,O,1,1,51,12,L,D,E,S,1,,,,,,,,,,,,,,,,,0,0,1189,0,0,0,1,3
2,8,344.15842723,8H,H,5,1,1,31,0,T,Y,D,O,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,942,0,0,0,1,3
2,9,20.62590823,9A,A,5,1,1,2,70,F,Y,E,W,2,4,3,68,L,B,E,W,3,56,8,7,7,7,8,11,8,58,17,14,3,1,0,0,71,0,1,1013,0,0,0,1,3
2,9,20.62590823,9A,A,5,2,3,31,0,T,Y,D,O,4,1,1,1,R,Z,E,W,3,,,,,,,,,117,0,3,14,14,9,0,-21,1,1,1005,0,0,0,1,3
2,9,20.62590823,9A,A,5,3,4,1,U,9,9,9,9,U,2,2,U,9,9,9,9,U,62,14,15,14,9,10,6,0,,,,,,,,,0,1,1060,0,0,0,1,3
