PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN,PSUSTRAT
2,1,92.945293797,1C,C,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,20,1,0,0,3
2,2,149.59352682,2E,E,5,1,98,3,3,0,0,3,0,0,0,0,0,2,6,6,0,6,6,2,8,0,0,0,0,0,0,0,0,1,2,2,0,2,2,3,0,1,2,2,0,1,1,2,0,11,14,3,1,11,6,2,1,11,12,2,1,11,13,2,1,11,16,2,1,13,3,1,1,12,12,1,1,13,12,1,1,13,13,1,1,11,15,1,1,2,0,0,16,0,8,1,3
2,3,324.71188789,3G,G,5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,34,0,8,0,3
2,4,659.35172287,4H,H,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,150,0,8,0,3
2,5,33.216248929,5D,D,5,1,2,2,1,0,0,0,3,0,0,0,0,2,0,0,8,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,17,3,1,11,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,80,1,8,U,3
2,7,169.48819388,7G,G,5,1,6,1,3,0,3,1,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,71,0,8,0,3
2,8,344.15842723,8H,H,5,1,6,1,1,0,0,1,0,0,0,0,0,2,0,6,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,12,12,2,1,13,12,2,1,13,13,2,1,11,13,2,1,11,12,1,1,13,15,1,1,,,,,,,,,,,,,,,,,1,0,0,64,0,8,0,3
2,9,20.62590823,9A,A,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,5,0,8,0,3
2,9,20.62590823,9A,A,5,2,11,3,3,0,0,3,0,0,0,0,0,2,6,6,6,6,6,8,8,0,0,0,0,0,0,0,0,1,2,2,U,U,U,0,0,1,2,2,1,1,1,0,0,11,12,4,1,11,6,3,1,13,12,3,1,11,13,3,1,11,16,3,1,11,15,3,1,11,7,3,1,11,14,3,1,13,15,3,1,12,12,3,1,2,0,0,30,1,8,0,3
2,9,20.62590823,9A,A,5,3,6,1,U,1,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,5,2,2,11,2,1,2,11,14,1,2,12,14,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,38,1,8,0,3
