PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,RATWGT
2,"  1H",1,H,6,1,1,4,F,57,0,0,98.560545233
2,"  2F",2,F,6,1,1,9,F,2,2,F,138.6735975
2,"  3H",3,H,6,1,1,2,9,88,0,0,339.91068038
2,"  3H",3,H,6,2,1,2,F,58,0,0,339.91068038
2,"  4D",4,D,6,1,1,12,F,51,0,0,31.293664472
2,"  5F",5,F,6,1,1,15,F,41,0,0,251.36160243
2,"  5F",5,F,6,2,1,15,L,42,0,0,251.36160243
2,"  5F",5,F,6,3,1,15,F,41,0,0,251.36160243
2,"  6G",6,G,6,1,1,19,9,2,9,B,316.5179963
2,"  7D",7,D,6,1,1,1,F,56,0,0,63.513436191
2,"  7D",7,D,6,2,1,1,R,56,0,0,63.513436191
2,"  8F",8,F,6,1,1,1,F,2,24,L,306.41554001
2,"  9G",9,G,6,1,1,1,R,56,0,0,385.84267376
2," 10H",10,H,6,1,1,11,T,31,0,N,751.07242158
2," 11A",11,A,6,1,1,2,R,41,0,0,29.78172331
2," 11A",11,A,6,2,1,2,R,42,0,0,29.78172331
2," 11A",11,A,6,3,1,2,R,42,0,0,29.78172331
2," 12B",12,B,6,1,1,4,F,56,0,0,29.78172331
2," 12B",12,B,6,2,1,4,F,42,0,0,29.78172331
2," 12B",12,B,6,3,1,4,F,58,0,0,29.78172331
2," 13K",13,K,6,1,1,1,R,31,0,N,31.287406991
2," 13K",13,K,6,2,1,1,F,88,0,0,31.287406991
2," 13K",13,K,6,3,1,1,L,41,0,0,31.287406991
2," 13K",13,K,6,4,1,1,L,42,0,0,31.287406991
2," 14F",14,F,6,1,1,24,F,2,4,R,403.10338962
2," 15F",15,F,6,1,1,9,F,56,0,0,102.29628101
2," 15F",15,F,6,2,1,9,9,44,0,0,102.29628101
2," 16F",16,F,6,1,1,4,L,2,1,F,102.29628101
2," 17G",17,G,6,1,1,3,F,2,5,B,128.81288782
2," 18H",18,H,6,1,1,12,F,42,0,0,250.74418711
2," 19D",19,D,6,1,1,3,B,2,9,F,42.244256918
2," 20E",20,E,6,1,1,15,F,41,0,0,170.76265469
2," 20E",20,E,6,2,1,15,T,31,0,N,170.76265469
2," 21G",21,G,6,1,1,5,L,56,0,0,427.27714317
2," 22H",22,H,6,1,1,1,F,2,15,L,831.72780109
2," 24K",24,K,6,1,1,4,L,2,15,F,63.513436191
2," 24K",24,K,6,2,1,4,L,2,15,R,63.513436191
2," 25F",25,F,6,1,1,2,F,2,2,L,186.72432574
2," 26H",26,H,6,1,1,1,F,88,0,0,457.69053193
2," 26H",26,H,6,2,1,1,F,50,0,0,457.69053193
2," 26H",26,H,6,3,1,1,F,50,0,0,457.69053193
2," 27E",27,E,6,1,1,1,9,31,0,N,148.90194897
2," 28F",28,F,6,1,1,3,F,56,0,0,295.88140634
2," 29G",29,G,6,1,1,9,N,38,0,N,372.57794735
2," 30H",30,H,6,1,1,15,F,56,0,0,725.25161207
2," 31D",31,D,6,1,1,1,L,2,3,F,31.287406991
2," 31D",31,D,6,2,1,1,L,2,3,R,31.287406991
2," 32E",32,E,6,1,1,15,L,2,12,F,104.92970116
2," 33G",33,G,6,1,1,11,F,41,0,0,262.55192055
2," 33G",33,G,6,2,1,11,F,41,0,0,262.55192055
2," 34H",34,H,6,1,1,9,9,50,0,0,511.07749393
2," 34H",34,H,6,2,1,9,9,50,0,0,511.07749393
2," 34H",34,H,6,3,1,9,9,98,0,0,511.07749393
2," 34H",34,H,6,4,1,9,9,41,0,0,511.07749393
2," 35E",35,E,6,1,1,1,9,31,0,N,111.1858553
2," 36G",36,G,6,1,1,3,F,63,0,0,278.20587997
2," 36G",36,G,6,2,1,3,F,68,0,0,278.20587997
2," 37H",37,H,6,1,1,1,T,31,0,N,541.54912916
2," 38J",38,J,6,1,1,4,L,2,3,F,81.62654211
2," 38J",38,J,6,2,1,4,L,2,3,R,81.62654211
2," 39E",39,E,6,1,1,2,F,2,1,F,249.33978205
2," 40H",40,H,6,1,1,15,F,98,0,0,1214.4507183
2," 40H",40,H,6,2,1,15,L,31,0,N,1214.4507183
2," 41F",41,F,6,1,1,15,B,2,18,F,154.43919557
2," 41F",41,F,6,2,1,15,F,68,0,0,154.43919557
2," 42G",42,G,6,1,1,12,F,50,0,0,194.47196493
2," 42G",42,G,6,2,1,12,9,41,0,0,194.47196493
2," 42G",42,G,6,3,1,12,9,41,0,0,194.47196493
2," 42G",42,G,6,4,1,12,F,41,0,0,194.47196493
2," 42G",42,G,6,5,1,12,F,43,0,0,194.47196493
2," 42G",42,G,6,6,1,12,F,41,0,0,194.47196493
2," 42G",42,G,6,7,1,12,F,42,0,0,194.47196493
2," 43H",43,H,6,1,1,3,F,2,9,9,378.55462749
2," 44E",44,E,6,1,1,20,F,2,15,B,52.91593447
2," 45G",45,G,6,1,1,1,9,50,0,0,132.40464872
2," 45G",45,G,6,2,1,1,F,56,0,0,132.40464872
2," 46H",46,H,6,1,1,1,9,31,0,N,257.73582579
2," 47E",47,E,6,1,1,11,9,50,0,0,106.03422433
2," 47E",47,E,6,2,1,11,T,31,0,N,106.03422433
2," 48F",48,F,6,1,1,15,F,50,0,0,67.267668717
2," 48F",48,F,6,2,1,15,F,51,0,0,67.267668717
2," 48F",48,F,6,3,1,15,9,50,0,0,67.267668717
2," 48F",48,F,6,4,1,15,L,51,0,0,67.267668717
2," 48F",48,F,6,5,1,15,R,51,0,0,67.267668717
2," 48F",48,F,6,6,1,15,R,51,0,0,67.267668717
2," 49G",49,G,6,1,1,15,F,2,2,L,84.704376134
2," 50H",50,H,6,1,1,1,F,56,0,0,164.8835788
2," 50H",50,H,6,2,1,1,T,31,0,N,164.8835788
2," 51F",51,F,6,1,1,1,U,56,0,0,116.55819957
2," 51F",51,F,6,2,1,1,T,31,0,N,116.55819957
2," 52G",52,G,6,1,1,3,F,98,0,0,146.77169234
2," 53H",53,H,6,1,1,3,F,76,0,0,285.70238049
2," 54H",54,H,6,1,1,1,F,2,2,F,285.70238049
2," 55E",55,E,6,1,1,1,R,50,0,0,106.03422433
2," 55E",55,E,6,2,1,1,T,31,0,N,106.03422433
2," 56E",56,E,6,1,1,2,F,41,0,0,106.03422433
2," 56E",56,E,6,2,1,2,F,42,0,0,106.03422433
2," 57F",57,F,6,1,1,9,L,2,11,F,197.45531996
2," 58H",58,H,6,1,1,9,T,31,0,N,483.99387744
2," 59E",59,E,6,1,1,2,R,42,0,0,106.03422433
2," 59E",59,E,6,2,1,2,T,31,0,N,106.03422433
2," 60F",60,F,6,1,1,2,F,51,0,0,151.30618087
2," 61G",61,G,6,1,1,3,F,56,0,0,190.52682961
2," 61G",61,G,6,2,1,3,L,56,0,0,190.52682961
2," 63K",63,K,6,1,1,2,F,2,2,F,67.5807991
2," 64F",64,F,6,1,1,2,L,42,0,0,284.06558483
2," 64F",64,F,6,2,1,2,F,58,0,0,284.06558483
2," 65G",65,G,6,1,1,9,B,2,2,F,357.69930196
2," 65G",65,G,6,2,2,2,F,3,3,F,357.69930196
2," 65G",65,G,6,3,3,3,R,41,0,0,357.69930196
2," 65G",65,G,6,4,3,3,F,42,0,0,357.69930196
2," 66H",66,H,6,1,1,2,F,56,0,0,696.28918518
2," 67A",67,A,6,1,1,2,B,42,0,0,69.689232544
2," 67A",67,A,6,2,1,2,T,31,0,N,69.689232544
2," 68G",68,G,6,1,1,9,F,76,0,0,5508.5903471
2," 69F",69,F,6,1,1,15,R,2,2,F,105.17379586
2," 70H",70,H,6,1,1,15,F,2,2,B,257.79742613
2," 71K",71,K,6,1,1,4,F,2,3,F,31.287406991
2," 72K",72,K,6,1,1,2,L,42,0,0,31.287406991
2," 72K",72,K,6,2,1,2,F,42,0,0,31.287406991
2," 73D",73,D,6,1,1,1,F,60,0,0,178.8419471
2," 74F",74,F,6,1,1,4,F,51,0,0,1436.5207515
2," 75E",75,E,6,1,1,3,R,56,0,0,61.560303784
2," 76F",76,F,6,1,1,3,B,2,13,L,122.32579482
