PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,AINJSER,AINJURED,ALCINV,DAYWEEK,DRGINV,MANCOLL,PSUSTRAT,ADMINSS,PEDSTUDY,FIRESTDY
2,1,58.580210386,"  1H",H,7,1,1,94,330,1,0,0,0,0,1,7,2,0,3,0,0,0
2,2,100.7596824,"  2E",E,7,1,1,94,1255,1,4,1,0,1,2,2,2,0,3,0,0,0
2,3,231.15070403,"  3G",G,7,2,1,94,1410,1,0,0,0,0,2,1,2,1,3,0,0,0
2,4,137.24390727,"  4E",E,7,2,1,94,1903,1,4,1,0,1,2,1,2,2,3,0,0,0
2,5,141.81920813,"  5F",F,7,2,1,94,1335,1,4,1,0,1,2,4,2,4,3,0,0,0
2,7,136.94242691,"  7D",D,7,1,1,94,1430,1,4,1,0,3,2,2,2,0,3,0,0,0
2,8,151.56912403,"  8F",F,7,1,1,94,1209,1,4,0,0,0,2,7,2,0,3,0,0,0
2,10,589.16878262," 10H",H,7,1,1,94,1240,1,6,0,0,0,2,2,2,0,3,0,0,0
2,11,126.40839407," 11D",D,7,1,1,94,415,3,4,1,0,1,1,1,2,0,3,0,0,0
2,12,239.23689297," 12E",E,7,1,1,94,50,1,4,1,0,1,2,7,2,0,3,0,0,0
2,13,548.82840957," 13G",G,7,2,1,94,1710,1,0,0,0,0,2,1,2,4,3,0,0,0
2,14,960.9463083," 14H",H,7,2,1,94,1710,1,0,0,0,0,2,1,2,1,3,0,0,0
2,15,126.40839407," 15D",D,7,2,2,94,1810,1,4,1,0,3,2,5,2,4,3,0,0,0
2,16,107.70687549," 16F",F,7,1,2,94,1114,1,4,1,0,1,2,6,2,0,3,0,0,0
2,17,239.11668195," 17G",G,7,2,1,94,655,1,0,0,0,0,U,7,U,2,3,0,0,0
2,18,418.67055124," 18H",H,7,1,2,94,1730,1,0,0,0,0,2,1,2,0,3,0,0,0
2,19,162.10706091," 19K",K,7,1,2,94,1831,1,3,3,1,1,2,4,2,0,3,0,0,0
2,20,188.68343141," 20E",E,7,2,2,94,1430,1,4,1,0,1,2,2,2,4,3,0,0,0
2,21,432.85475866," 21G",G,7,1,1,94,1230,1,8,0,0,0,2,1,2,0,3,0,0,0
2,22,757.88748379," 22H",H,7,2,1,94,1437,2,0,0,0,0,2,4,2,6,3,0,0,0
2,23,100.695158," 23C",C,7,2,2,94,1555,1,3,1,0,2,2,6,2,4,3,0,0,0
2,24,126.40839407," 24D",D,7,2,2,94,1750,2,4,1,0,2,2,2,2,4,3,0,0,0
2,25,176.01815171," 25F",F,7,2,2,94,415,2,4,1,0,1,2,4,2,4,3,0,0,0
2,26,390.77242015," 26G",G,7,1,2,94,2050,1,0,0,0,0,2,6,2,0,3,0,0,0
2,27,150.84735026," 27D",D,7,1,2,94,1845,2,3,3,1,4,2,4,2,0,3,0,0,0
2,28,478.38927442," 28F",F,7,1,1,94,1510,1,4,0,0,0,2,1,2,0,3,0,0,0
