PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2
2,1,58.580210386,"  1H",H,7,1,1,1,F,51,0,0
2,2,100.7596824,"  2E",E,7,1,1,1,L,52,0,0
2,3,231.15070403,"  3G",G,7,1,1,2,F,2,5,B
2,4,137.24390727,"  4E",E,7,1,1,9,F,2,3,F
2,5,141.81920813,"  5F",F,7,1,1,9,F,2,3,L
2,7,136.94242691,"  7D",D,7,1,1,11,T,31,0,N
2,8,151.56912403,"  8F",F,7,1,1,1,T,31,0,N
2,10,589.16878262," 10H",H,7,1,1,2,L,45,0,0
2,11,126.40839407," 11D",D,7,1,1,1,F,63,0,0
2,11,126.40839407," 11D",D,7,2,1,1,F,56,0,0
2,11,126.40839407," 11D",D,7,3,1,1,F,51,0,0
2,12,239.23689297," 12E",E,7,1,1,3,T,31,0,N
2,13,548.82840957," 13G",G,7,1,1,9,F,2,9,R
2,14,960.9463083," 14H",H,7,1,1,15,B,2,9,F
2,15,126.40839407," 15D",D,7,1,1,5,L,2,2,F
2,16,107.70687549," 16F",F,7,1,1,15,L,31,0,N
2,17,239.11668195," 17G",G,7,1,1,18,R,2,3,F
2,18,418.67055124," 18H",H,7,1,1,1,U,56,0,0
2,19,162.10706091," 19K",K,7,1,1,2,F,53,0,0
2,20,188.68343141," 20E",E,7,1,1,1,F,2,1,R
2,21,432.85475866," 21G",G,7,1,1,11,T,31,0,N
2,22,757.88748379," 22H",H,7,1,1,1,F,2,9,L
2,22,757.88748379," 22H",H,7,2,1,1,L,2,9,L
2,23,100.695158," 23C",C,7,1,1,1,F,2,1,F
2,24,126.40839407," 24D",D,7,1,1,3,L,2,1,F
2,24,126.40839407," 24D",D,7,2,1,3,L,2,1,R
2,25,176.01815171," 25F",F,7,1,1,9,F,2,3,R
2,25,176.01815171," 25F",F,7,2,2,3,F,71,0,0
2,26,390.77242015," 26G",G,7,1,1,11,T,31,0,N
2,27,150.84735026," 27D",D,7,1,1,13,9,50,0,0
2,27,150.84735026," 27D",D,7,2,1,13,T,31,0,N
2,28,478.38927442," 28F",F,7,1,1,1,9,31,0,N
2,29,1062.0571385," 29G",G,7,1,1,1,F,56,0,0
2,30,1859.5609642," 30H",H,7,1,1,2,B,2,3,F
2,31,69.346123404," 31D",D,7,1,1,2,F,57,0,0
2,31,69.346123404," 31D",D,7,2,1,2,T,31,0,N
2,32,69.346123404," 32D",D,7,1,1,22,9,2,2,F
2,33,212.82564289," 33E",E,7,1,1,9,B,2,9,F
2,34,854.85985587," 34H",H,7,1,1,1,F,2,1,F
2,35,107.1436164," 35C",C,7,1,1,2,R,2,1,F
2,36,118.80048146," 36D",D,7,1,1,1,F,56,0,0
2,37,312.61595819," 37F",F,7,1,1,24,F,2,3,F
2,37,312.61595819," 37F",F,7,2,2,3,R,51,0,0
2,38,1215.1786499," 38H",H,7,1,1,1,T,31,0,N
2,39,80.768310231," 39B",B,7,1,1,3,F,64,0,0
2,39,80.768310231," 39B",B,7,2,1,3,T,31,0,N
2,40,107.1436164," 40C",C,7,1,1,14,F,2,1,F
2,41,112.1815975," 41D",D,7,1,1,18,B,2,1,F
2,42,789.82671044," 42G",G,7,1,1,2,F,56,0,0
2,43,107.1436164," 43J",J,7,1,1,1,F,2,1,F
2,44,2379.1629148," 44G",G,7,1,1,9,9,60,0,0
2,45,59.191216523," 45B",B,7,1,1,1,F,2,15,F
2,46,462.2796418," 46F",F,7,1,1,9,F,2,11,F
2,47,62.2590602," 47D",D,7,1,1,2,F,2,20,F
2,48,191.07520165," 48E",E,7,1,1,1,B,2,14,F
2,49,197.44507665," 49F",F,7,1,1,3,L,76,0,0
2,50,767.49454211," 50H",H,7,1,1,9,F,76,0,0
2,51,107.97908126," 51F",F,7,1,2,1,B,3,9,F
2,51,107.97908126," 51F",F,7,2,1,9,B,2,1,F
2,51,107.97908126," 51F",F,7,3,3,9,B,4,9,F
2,52,107.97908126," 52F",F,7,1,1,2,F,50,0,0
2,52,107.97908126," 52F",F,7,2,1,2,F,44,0,0
2,53,239.72099751," 53G",G,7,1,1,9,F,76,0,0
2,54,419.72865028," 54H",H,7,1,1,15,F,52,0,0
2,54,419.72865028," 54H",H,7,2,1,15,F,88,0,0
2,55,116.0722511," 55C",C,7,1,1,13,F,50,0,0
2,55,116.0722511," 55C",C,7,2,1,13,F,61,0,0
2,55,116.0722511," 55C",C,7,3,1,13,T,31,0,N
2,56,182.48099344," 56E",E,7,1,1,14,9,31,0,N
2,57,418.62587397," 57G",G,7,1,1,1,R,2,3,F
