PSU,CASENO,RATWGT,AOPSVEH,CASEID,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,EVALCLAS,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH,DRZIP,DRRACE,VEHUSE,ROLINTYP,ROLINLOC,ROLLOBJ,TRIPLOC,ROLINDIR,PREMOVE,PREEVENT,PRESTAB,CONSEQ
2,1,58.580210386,1,"  1H",H,7,1,88,12,13,5,1FAPP2597J,1,U,1,B,56,U,1,1,1,1,101,5,0,0,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,2,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12477,1,0,0,0,0,0,0,U,13,U,U
2,2,100.7596824,1,"  2E",E,7,1,90,35,43,4,9999999999,1,U,0,C,48,7,2,1,1,1,100,0,0,0,1,0,0,0,998,998,4,U,U,U,U,0,0,U,0,1,2,4,N,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12401,U,0,0,0,0,0,0,13,5,4,4
2,3,231.15070403,1,"  3G",G,7,1,93,21,21,4,9999999999,1,U,0,C,72,2,20,1,3,3,126,0,0,0,0,0,U,0,90,90,3,26,-26,0,175,4,0,U,0,0,2,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30328,U,0,0,0,0,0,0,2,50,1,1
2,3,231.15070403,0,"  3G",G,7,2,85,18,2,4,1G4BN69Y5F,0,0,0,C,72,U,21,1,2,0,168,U,0,0,0,0,0,1,90,90,3,21,21,0,520,4,2,17,N,N,1,N,126,4,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7304,1,0,0,0,0,0,0,4,52,U,U
2,4,137.24390727,0,"  4E",E,7,1,94,12,399,4,9999999999,1,U,0,C,89,U,52,1,2,2,U,U,0,0,0,0,U,0,270,90,6,U,U,U,U,0,0,U,0,0,1,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,U,0,0,0,0,0,0,1,10,U,U
2,4,137.24390727,1,"  4E",E,7,2,93,37,32,4,1HGCB7550P,1,U,0,C,89,U,52,1,2,2,126,0,0,0,0,0,U,0,90,270,6,U,U,U,U,0,2,17,0,1,2,4,U,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12401,1,0,0,0,0,0,0,1,62,U,U
2,5,141.81920813,0,"  5F",F,7,1,80,20,399,2,9999999999,0,U,0,C,48,U,88,1,1,0,U,U,0,0,0,0,0,0,0,270,4,U,U,U,U,0,0,U,N,N,1,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12401,U,U,0,0,0,0,0,U,5,U,U
2,5,141.81920813,0,"  5F",F,7,2,80,18,1,2,4B377AT100,1,U,0,C,48,7,89,1,2,2,112,1,0,0,0,0,0,0,270,0,4,U,U,U,U,0,1,13,0,1,1,4,U,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12401,U,0,0,0,0,0,0,1,73,1,4
2,7,136.94242691,0,"  7D",D,7,1,85,2,402,14,1JCCM87EXF,1,U,0,C,89,8,2,1,3,3,118,2,0,0,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,3,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21093,3,0,1,4,61,1,1,1,5,4,4
2,8,151.56912403,0,"  8F",F,7,1,85,37,31,6,JHMAN352XF,1,U,0,C,89,U,1,1,1,1,91,0,0,0,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,0,U,4,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12603,6,0,2,4,44,4,2,13,13,U,U
