PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTNK1,FUELTNK2,FUELLOC1,FUELLOC2,FUELCAP1,FUELCAP2,FUELDAM1,FUELDAM2,FUELEAK1,FUELEAK2,FUELTYP1,FUELTYP2,FUELGT2
2,1,58.580210386,"  1H",H,7,1,1,51,12,F,Z,E,N,1,,,,,,,,,136,5,9,13,16,14,9,29,,,,,,,,,0,1,239,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,3,231.15070403,"  3G",G,7,2,1,1,6,B,D,E,W,1,,,,,,,,,178,7,8,12,12,12,11,0,,,,,,,,,0,0,294,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2,4,137.24390727,"  4E",E,7,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,272,0,0,0,1,0,4,0,2,0,1,0,U,0,1,0,0
2,5,141.81920813,"  5F",F,7,2,1,1,9,L,D,E,W,2,,,,,,,,,290,0,2,16,13,13,3,-31,,,,,,,,,0,1,266,0,0,0,1,0,2,0,2,0,1,0,1,0,1,0,0
2,7,136.94242691,"  7D",D,7,1,1,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,237,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2,8,151.56912403,"  8F",F,7,1,1,31,0,T,D,D,O,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,245,0,0,0,U,0,U,0,3,0,1,0,U,0,1,0,0
2,10,589.16878262," 10H",H,7,1,1,45,10,L,Y,A,W,2,,,,,,,,,310,0,14,5,8,4,0,-6,,,,,,,,,0,1,255,0,0,0,1,0,U,0,2,0,1,0,1,0,1,0,0
2,11,126.40839407," 11D",D,7,1,3,51,12,F,C,E,N,2,2,56,U,9,9,9,9,U,147,6,16,23,31,22,0,12,,,,,,,,,1,1,252,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,15,126.40839407," 15D",D,7,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,294,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0
2,15,126.40839407," 15D",D,7,2,1,1,12,F,R,A,E,9,,,,,,,,,135,0,0,0,1,3,26,66,,,,,,,,,0,1,257,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
