PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN
2,1,58.580210386,"  1H",H,7,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,192,0,0,0
2,4,137.24390727,"  4E",E,7,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,U,U,U,U,U,U
2,5,141.81920813,"  5F",F,7,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2,3,21,17,2,3,21,26,2,3,11,10,1,3,11,17,1,3,21,25,1,3,11,26,1,3,,,,,,,,,,,,,1,0,0,109,0,8,0
2,7,136.94242691,"  7D",D,7,1,98,3,3,0,0,2,0,0,0,0,5,4,0,6,4,4,4,8,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,1,0,2,1,1,1,0,0,13,16,4,1,13,6,4,1,11,19,2,2,12,16,2,1,11,16,1,1,11,6,1,1,,,,,,,,,,,,,,,,,1,0,0,186,0,8,0
2,8,151.56912403,"  8F",F,7,1,6,U,1,1,1,3,0,0,0,0,0,2,6,0,0,0,0,8,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,2,0,0,0,0,0,1,12,12,2,1,11,12,2,1,13,12,2,1,11,14,1,1,11,15,1,1,13,15,1,1,13,14,1,1,12,15,1,1,11,13,1,1,12,14,1,1,1,0,0,223,0,8,0
2,10,589.16878262," 10H",H,7,1,6,3,1,3,1,1,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1,21,10,1,3,21,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,323,1,8,U
2,11,126.40839407," 11D",D,7,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,244,0,8,1
2,15,126.40839407," 15D",D,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,88,0,0,0
2,15,126.40839407," 15D",D,7,2,6,1,3,1,3,0,0,0,0,0,0,2,0,6,0,0,0,8,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,2,0,0,0,0,1,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,155,0,8,0
2,16,107.70687549," 16F",F,7,1,6,3,1,0,0,0,0,0,0,0,0,0,6,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,10,1,3,11,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,147,0,8,0
2,17,239.11668195," 17G",G,7,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,16,0,0,0
2,18,418.67055124," 18H",H,7,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,138,U,8,0
2,19,162.10706091," 19K",K,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,137,1,8,0
2,20,188.68343141," 20E",E,7,2,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,19,0,0,0
2,22,757.88748379," 22H",H,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,139,0,8,0
2,23,100.695158," 23C",C,7,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,10,0,0,1
2,24,126.40839407," 24D",D,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,U,0,0,0
2,24,126.40839407," 24D",D,7,2,6,1,3,1,1,0,0,0,0,0,0,2,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,153,1,8,0
2,25,176.01815171," 25F",F,7,2,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,17,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,267,0,8,0
2,26,390.77242015," 26G",G,7,1,6,1,1,1,1,1,0,0,0,0,0,2,0,0,0,6,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,2,1,0,0,0,2,0,2,1,23,10,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,178,0,8,0
2,27,150.84735026," 27D",D,7,1,11,3,1,0,1,3,0,0,0,0,0,2,6,0,6,0,6,8,6,0,0,0,0,0,0,0,0,1,2,0,2,0,U,0,2,1,2,0,2,0,1,0,1,21,13,3,1,31,16,3,1,21,16,3,1,11,12,2,1,12,12,2,1,31,13,2,1,11,15,2,1,12,15,2,1,11,7,2,1,21,8,1,1,2,0,0,142,0,8,0
2,30,1859.5609642," 30H",H,7,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,98,6,167,U,8,U
2,31,69.346123404," 31D",D,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,151,U,8,1
2,32,69.346123404," 32D",D,7,2,98,1,3,1,2,1,0,0,0,2,0,3,0,6,0,0,0,8,0,0,0,U,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,14,3,2,12,14,3,2,13,6,2,2,13,5,2,2,13,13,2,1,13,4,1,2,,,,,,,,,,,,,,,,,2,1,6,224,1,8,1
2,34,854.85985587," 34H",H,7,2,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,147,1,8,0
2,35,107.1436164," 35C",C,7,1,6,1,3,1,3,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,13,10,3,3,13,7,3,3,13,17,3,3,23,10,3,3,23,17,3,3,13,12,2,3,13,13,2,3,11,19,2,3,23,12,2,3,23,13,2,3,1,0,0,19,0,0,0
2,35,107.1436164," 35C",C,7,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U,U,255,0,8,0
2,38,1215.1786499," 38H",H,7,1,1,3,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,12,1,1,12,12,1,1,13,12,1,1,11,15,1,1,12,15,1,1,13,15,1,1,,,,,,,,,,,,,,,,,1,0,0,230,0,8,0
2,39,80.768310231," 39B",B,7,1,6,1,1,1,1,0,0,0,0,0,0,2,6,0,6,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,2,0,2,0,0,0,0,12,12,2,1,13,12,2,1,11,12,2,1,11,14,1,1,22,12,1,1,11,15,1,1,12,15,1,1,12,14,1,1,13,15,1,1,21,12,1,1,2,0,0,101,0,8,0
2,40,107.1436164," 40C",C,7,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,103,0,8,0
2,40,107.1436164," 40C",C,7,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,9,122,1,8,1
2,41,112.1815975," 41D",D,7,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,131,0,0,0
2,43,107.1436164," 43J",J,7,1,12,1,3,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,19,4,2,13,5,3,2,13,17,3,2,13,19,2,2,21,20,2,2,13,4,2,2,22,20,1,2,23,20,1,2,,,,,,,,,1,10,6,96,1,8,1
2,43,107.1436164," 43J",J,7,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,5,1,2,11,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,68,1,1,1
