ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
1,"  1F",1,3,4,F,F,2,92.852180931,2,F,1,8
1,"  2H",2,0,1,L,0,51,523.46620537,2,H,1,8
1,"  3H",3,31,9,L,F,2,4337.3410054,2,H,1,8
1,"  4F",4,9,2,B,F,2,520.76634371,2,F,1,8
1,"  5F",5,3,3,R,F,2,520.76634371,2,F,1,8
2,"  5F",5,30,3,R,L,3,520.76634371,2,F,1,8
1,"  6F",6,0,20,R,0,50,133.16957528,2,F,1,8
2,"  6F",6,0,20,R,0,51,133.16957528,2,F,1,8
3,"  6F",6,0,20,R,0,41,133.16957528,2,F,1,8
4,"  6F",6,0,20,F,0,42,133.16957528,2,F,1,8
5,"  6F",6,0,20,R,0,41,133.16957528,2,F,1,8
6,"  6F",6,0,20,R,0,41,133.16957528,2,F,1,8
7,"  6F",6,0,20,R,N,31,133.16957528,2,F,1,8
1,"  8D",8,4,20,F,R,2,87.065106307,2,D,1,8
2,"  8D",8,4,20,L,R,2,87.065106307,2,D,1,8
3,"  8D",8,0,4,F,0,60,87.065106307,2,D,2,8
1,"  9D",9,0,30,T,N,31,87.065106307,2,D,1,8
1," 10F",10,14,45,B,F,2,144.22076189,2,F,1,8
2," 10F",10,0,45,F,0,56,144.22076189,2,F,1,8
3," 10F",10,0,14,T,N,31,144.22076189,2,F,2,8
1," 11H",11,0,4,L,0,41,450.74328096,2,H,1,8
2," 11H",11,0,4,F,0,41,450.74328096,2,H,1,8
3," 11H",11,0,4,F,0,41,450.74328096,2,H,1,8
1," 12C",12,0,30,F,0,52,80.659972983,2,C,1,8
1," 13D",13,0,2,F,0,42,88.543878378,2,D,1,8
2," 13D",13,0,2,F,0,88,88.543878378,2,D,1,8
1," 14K",14,9,15,F,9,2,47.772019839,2,K,1,8
1," 15D",15,0,1,F,0,53,47.52715823,2,D,1,8
2," 15D",15,0,1,T,0,53,47.52715823,2,D,1,8
3," 15D",15,0,1,L,0,42,47.52715823,2,D,1,8
1," 16E",16,1,49,F,R,2,386.66022156,2,E,1,8
2," 16E",16,0,1,L,0,U,386.66022156,2,E,2,8
3," 16E",16,0,1,B,0,U,386.66022156,2,E,2,8
1," 17F",17,0,1,F,0,45,356.47018505,2,F,1,8
2," 17F",17,0,1,F,0,52,356.47018505,2,F,1,8
1," 18H",18,0,30,L,0,42,1114.1013171,2,H,1,8
1," 19C",19,0,14,R,0,42,75.483744907,2,C,1,8
