ACCSEQDV,ACCTYPE,ALCTEST,ANGTHIS,ANGOTHER,AOPSVEH,WEATHER,BAGDEPFV,BAGDEPOV,BAREQSP,BODYTYPE,CARGOWGT,CASEID,CASENO,CONDTREE,CURBWGT,DVEST,DOCTRAJ,DRIVDIST,DRINKING,DRIVE,DRPRES,DRRACE,DRZIP,DVBASIS,DVCONFID,DVLAT,DVLONG,DVTOTAL,ENERGY,FOVERIDE,IMPACTSP,INSPTYPE,LANES,LGTCOND,MAKE,MANEUVER,MODEL,MODELYR,RATWGT,OCCFORMS,OCUPANTS,PREEVENT,PREMOVE,PREILOC,PREISTAB,PSU,ALIGNMNT,SURCOND,PROFILE,SURTYPE,RELINTER,ROLINDIR,ROLINLOC,ROLINTYP,ROLLOBJ,ROLLOVER,ROVERIDE,SPECOTH,SPLIMIT,STRATIF,TOWHITCH,TOWPAR,TRAFCONT,TRCTLFCT,TRAVELSP,TRAFFLOW,TRIPLOC,VEHNO,VEHUSE,VERSION,VIN,VINLNGTH,DRUGS,VINO,MCYCLDS,VEHWGT,VINMAKE,VINAMOD,SERTR,VINBT,ROOF1,ROOF2,ROOF3,ANTILOCK,FRTWHLDR,FOURWHDR,RESTYPE,CARBUR,FUELCODE,WGTCDTR,VEHTYPE,WHLDRWHL,DAYRUNLT,VINMODYR,OTVEHWGT,OTBDYTYP,VINJSER,VINJURED,VTREAT,VAIS
2,7,0,998,998,1,3,1,0,U,14,1,"  1A",1,1,184,8,0,U,0,8,1,U,11797,6,0,U,U,U,U,0,U,3,2,2,2,U,404,95,62.593359748,2,2,12,14,4,3,2,2,3,4,2,0,2,4,4,68,1,0,0,89,A,0,1,0,0,U,0,4,1,0,9,1J4GZ78Y6S,17,0,4,,,JEEP,GCK,L/O,4W,1,3,,2,,,M,,G,1,T,44,N,95,998,98,1,2,1,1
1,87,C,180,90,1,0,3,0,25,15,U,"  2G",2,0,232,0,0,U,0,8,1,U,12525,3,4,-18,0,18,576,0,998,0,2,1,20,U,421,95,569.61204333,1,1,17,1,1,1,2,1,3,1,2,2,0,0,0,0,0,0,0,89,G,0,1,2,2,U,0,0,1,0,9,1GNEK13K8S,17,0,4,,,CHEV,KTA,KTA,4W,1,,,2,,,M,,G,2,T,44,N,95,N,N,0,0,0,0
1,86,C,90,180,0,0,0,0,18,14,0,"  2G",2,0,150,0,0,U,0,8,1,U,12561,3,1,0,-28,28,213,0,998,3,2,1,20,U,401,87,569.61204333,1,1,66,14,1,1,2,3,3,1,2,2,0,0,0,0,0,0,0,89,G,0,1,6,2,U,0,0,2,0,9,1GNCT18R3H,17,0,4,,,CHEV,S10,SBZ,S2,1,,,1,,,A,,G,1,T,44,N,87,232,15,0,0,0,0
1,85,C,180,85,0,3,0,0,26,3,1,"  3F",3,0,191,0,0,U,0,2,1,U,12542,11,0,U,U,U,U,0,U,3,2,1,30,U,36,84,80.027613774,1,1,73,1,1,U,2,1,3,1,2,3,0,0,0,0,0,0,0,56,F,0,1,0,0,U,0,0,1,0,9,1VWDC017XE,17,0,4,,1950,VOLK,UGS,,2H,,,,,,,,F,G,,P,,,84,U,29,0,0,0,0
U,85,C,85,180,0,3,0,0,U,29,U,"  3F",3,0,U,U,0,U,0,8,1,U,12477,0,0,U,U,U,U,0,U,0,2,1,23,U,499,84,80.027613774,1,1,19,U,7,1,2,1,3,1,4,3,0,0,0,0,0,0,0,0,F,0,1,0,0,U,0,0,2,0,9,9999999999,U,0,1,9999,9999,99999,999,999,99,9,9,9,9,9,9,9,9,9,9,P,99,9,84,N,N,0,1,4,1
1,20,C,175,175,1,0,0,0,9,4,0,"  4F",4,0,128,0,0,U,0,2,1,U,12449,3,4,0,-9,9,40,U,998,0,2,1,49,U,40,88,49.447956478,1,1,5,14,1,2,2,3,3,1,2,2,0,0,0,0,0,0,0,89,F,0,1,2,2,U,0,0,1,0,9,JT2SV21E1J,17,0,5,,2734,TOYT,CMD,,4D,1,,,1,Y,N,P,F,G,,P,,N,88,N,N,0,0,0,0
1,22,C,175,175,1,0,0,0,11,5,0,"  4F",4,0,102,0,0,1,0,2,1,1,12477,3,1,0,11,11,70,0,998,2,2,1,30,1,42,90,49.447956478,0,1,53,5,1,1,2,3,3,1,2,2,0,0,0,0,0,U,0,89,F,0,0,2,2,0,0,0,2,0,9,3VWFA21GXL,17,0,4,,2246,VOLK,GGL,,4H,1,2,,1,Y,N,P,F,G,,P,,N,90,128,4,N,N,N,N
U,1,C,998,998,0,0,0,0,U,4,U,"  5H",5,0,U,U,0,14,0,1,1,U,12561,0,0,U,U,U,U,0,U,0,2,2,20,U,1,81,166.70597666,1,1,11,14,4,U,2,3,1,1,2,0,0,0,0,0,0,0,0,56,H,0,1,0,0,U,0,0,1,0,9,1G1AW69K3B,17,0,4,,3059,CHEV,MCL,,4D,,,,,,,,2,G,,P,,,81,N,N,0,0,0,0
2,2,C,997,997,1,0,1,0,U,4,0,"  6E",6,0,147,6,0,1,0,2,1,U,12561,5,0,U,U,U,U,0,U,3,2,2,30,3,46,96,130.04675755,1,1,5,14,4,3,2,3,3,2,2,0,2,4,1,68,4,0,0,89,E,0,1,0,0,U,0,1,1,0,9,WVWEE83AXT,17,0,5,,2989,VOLK,PGX,,4D,1,3,,2,Y,N,E,F,G,,P,,S,96,998,98,0,1,4,1
2,98,C,155,185,0,0,0,0,10,2,1,"  7F",7,0,144,0,0,1,0,1,1,1,12401,1,1,6,10,12,178,0,998,3,2,1,18,1,10,84,290.61518281,1,1,53,11,1,1,2,1,3,1,2,3,0,0,0,0,0,4,0,89,F,0,1,0,0,U,0,0,1,0,9,1G4AM47A2E,17,0,4,,3210,BUIC,RLM,,CP,,,,,,,,2,G,,P,,,84,131,3,0,1,4,1
2,25,C,185,155,0,0,0,0,17,3,0,"  7F",7,0,131,0,0,1,0,2,1,U,12466,1,1,2,-12,13,163,1,998,3,2,1,47,U,31,86,290.61518281,1,1,53,2,1,1,2,1,3,1,2,3,0,0,0,0,0,5,0,89,F,0,1,0,0,U,0,0,2,0,9,YS3AB35J3G,17,0,5,,2622,SAA,90,,2H,1,,,1,Y,N,A,F,G,,P,,N,86,144,2,0,1,4,1
U,24,C,180,180,0,0,0,0,U,30,U,"  7F",7,0,U,U,0,U,0,8,1,U,12401,0,0,U,U,U,U,U,U,0,2,1,12,U,471,85,290.61518281,0,2,52,1,1,U,2,1,3,1,2,3,0,0,0,0,0,0,0,89,F,0,0,0,0,U,0,0,3,0,9,9999999999,U,0,1,9999,9999,99999,999,999,99,9,9,9,9,9,9,9,9,9,9,P,99,9,85,N,N,N,N,N,N
1,1,U,997,997,0,0,0,0,U,30,0,"  8G",8,0,176,6,0,U,1,8,1,U,12568,5,0,U,U,U,U,0,U,3,2,2,35,U,471,95,425.10728937,1,1,13,1,4,1,2,1,2,2,2,0,2,4,2,68,1,0,0,89,G,0,1,0,0,U,0,4,1,0,9,1N6HD16Y4S,17,0,4,,,NISS,TRK,KSX,PC,1,2,,3,,,A,,G,1,T,44,N,95,998,98,0,0,0,0
1,92,C,262,185,0,3,0,0,10,31,20,"  9H",9,0,175,0,0,1,0,8,1,1,12493,1,1,-9,0,9,99,0,998,2,2,3,2,1,481,68,979.76319616,0,1,98,13,7,1,2,1,3,1,4,3,0,0,0,0,0,0,0,0,H,0,0,0,0,U,0,0,1,0,9,2406XS1000,12,0,4,,,,,,,,,,,,,,,,,U,,,68,142,4,N,N,N,N
1,93,C,185,262,1,3,0,0,12,4,0,"  9H",9,0,142,0,0,U,0,2,1,U,12417,1,1,0,-13,13,91,0,998,3,2,3,20,U,20,90,979.76319616,1,1,56,1,1,U,2,1,3,1,2,3,0,0,0,0,0,0,0,89,H,0,1,0,0,U,0,0,2,0,9,2G1WL54R6L,17,0,4,,3042,CHEV,LUM,,4D,1,,,1,Y,N,P,F,G,,P,,N,90,175,31,0,1,U,7
